,Date,Open,High,Low,Close,Average,Volume,Month,Year,Day,Annual Average Inflation,12-Month Inflation,Mean,Amount,Dividends per share,Earnings Per Share,Unemployment,Interest rates
,2/20/2024,110,110,109,110,110,"9,900",,,,,6.9,142.8,1,,,,13
,2/19/2024,111,111,110,110.5,110.5,"4,100",,,,,6.9,143.48,1,,,,13
,2/16/2024,110,114,110,112,111,"4,100",,,,,6.9,145.52,1,,,,13
,2/15/2024,115,115,110,110,112.5,"6,900",,,,,6.9,145.5,1,,,,13
,2/14/2024,115,115,113,113,114.25,"13,000",,,,,6.9,155.04,1,,,,13
,2/13/2024,114,115,113,115,115,"420,600",,,,,6.9,157.58,1,,,,13
,2/12/2024,115.5,117,114,117,114.25,"8,100",,,,,6.9,159.48,1,,,,13
,2/9/2024,117.25,117.25,114.25,117,114.25,"220,500",,,,,6.9,160.128,1,,,,13
,2/8/2024,116,118,116,118,117.25,"102,600",,,,,6.9,160.42,1,,,,13
,2/7/2024,115,118,115,117,115.75,"114,300",,,,,6.9,160.48,1,,,,13
,2/6/2024,117,119,115,115,115,"129,400",,,,,6.9,160.75,1,,,,13
,2/5/2024,114,116,113,115,114.5,"107,300",,,,,6.9,161.045,1,,,,13
,2/2/2024,110,114.5,110,113,113.5,"87,900",,,,,6.9,160.8045,1,,,,13
,2/1/2024,109,110,109,109,109.25,"14,400",,,,,6.9,160,1,,,,13
0,1/31/2024,104,111,104,110,106,42000,1,2024,31,,6.9,161,1,,,3.7,12.5
1,1/30/2024,105,105,101,104,104,15600,1,2024,30,,6.9,161,1,,,3.7,12.5
2,1/29/2024,105,105,99,103.5,100,596100,1,2024,29,,6.9,162,1,,,3.7,12.5
3,1/26/2024,116.25,116.25,100,100,104.5,60500,1,2024,26,,6.9,162,1,,,3.7,12.5
4,1/25/2024,119.75,120,118,118,118.25,5700,1,2024,25,,6.9,163,1.75,,,3.7,12.5
5,1/24/2024,115,120,115,120,116.5,9700,1,2024,24,,6.9,162.75,1.75,,,3.7,12.5
6,1/23/2024,117,117,117,117,117,1200,1,2024,23,,6.9,162.5,1.75,,,3.7,12.5
7,1/22/2024,118,123,115.25,117,117,900,1,2024,22,,6.9,162,1.75,,,3.7,12.5
8,1/19/2024,118,118,118,118,118,3200,1,2024,19,,6.9,161.5,1.75,,,3.7,12.5
9,1/18/2024,118,124.75,118,120,120,263800,1,2024,18,,6.9,161.25,1.75,,,3.7,12.5
10,1/17/2024,120,120,119,120,119.75,2700,1,2024,17,,6.9,160.5,1.75,,,3.7,12.5
11,1/16/2024,120,125,119,120,121.75,17800,1,2024,16,,6.9,159.7,1.75,,,3.7,12.5
