text,date,No_of_likes,No_of_tweets
"Nowadays, I hardly get to buy their products due to holes in the pockets. EABL for instance has been raising the cost of it's products twice monthly and at the end of the Ruto's error CHROME will be more expensive than Smirnoff is today.",2024-02-01 05:10:00+00:00,1,0
Wacha ninunue chrome kadhaa EABL wapate pesa za kuservice loan🥺🥺🥺.,2024-01-30 07:12:00+00:00,27,3
Me drinking chrome today supporting EABL,2024-01-30 09:25:00+00:00,1,0
90% chance the chrome you buy isn't legit from EABL,2024-01-30 07:30:00+00:00,1,0
"And people will thrive in that. Corruption will be in our DNA. Kwanza vile wanasukuma eabl, illicit zitamaliza watu vibaya Sana. Chrome quarter ikifika 400 this year nobody will buy that crap. End result? Low purchasing power, reduced tax remittances. Nabii economics",2024-01-29 09:56:00+00:00,0,1
I watched Julians Amboko interview EABL chief of finance and man! The government wants to be paid excise duty 24 hours after stocks leave the warehouse. This government wants to kill Kenyan companies completely mazee.,2024-01-28 10:05:00+00:00,1176,32
And taxation increase in price of chrome will hurt business more,2024-01-26 08:19:00+00:00,0,0
"Yeah,, alafu kuna watu wanaongeza turbo charger (chrome) kwa hiyo black keg. Round moja watu washalewa at a minimal cost 😅",2024-01-13 07:23:00+00:00,1,1
CHROME @EABL_PLC turn over ya fakes ni mingi sana ajab imetutengezea stomach problems mob sana na hakuna venye wanatry juapproach ao wapishi fake wawashtaki🤦🏽‍♂️,2023-12-14 23:28:00+00:00,1,0
😂😂I will approach EABL watupee ya Chrome,2023-12-08 15:41:00+00:00,0,1
@EABL_PLC stopped making Chrome a few years ago.,2023-11-25 16:13:00+00:00,0,1
A chrome gig ? EABL ?Unadiss a corporate sponsored gig,2023-11-23 16:56:00+00:00,3,1
Let him propose everything but wasiguze hii brand ya mafuta coz it keeps us moving  @#tuesdayvibe @#WivuMejja @#Eabl #Chrome,2023-11-21 19:15:00+00:00,0,0
"@EABL_PLC @Chrome_KE kindly, talk to @Kenyans @KRACare @EPRA_Ke @citizentvkenya wasicheze na prices ya hii, tuko pabaya   #WivuMejja cs ababu namwamba  president museveni president ruto Kanda uongo man",2023-11-21 19:14:00+00:00,0,0
"@KenyaBreweries @EABL_PLC  Im a consumer Chrome vodka, and im concerned about rate at which fake products are being sold,just requesting if you can come up with away we can easily & quickly confim if product its original ,like sms code. Yours Geoffrey  Epra #Nyege23 kalenjins",2023-11-12 13:02:00+00:00,0,0
"Didn't you guys heed the warning from EABL? Avoid Gilbey's, VAT 69, Black Label, Smirnoff Vodka, Chrome and Best.",2023-10-21 10:42:00+00:00,89,8
"Ningekua Naivasha crayfish na dem hoes tukingoja akina Diamond aimbe ""chambua kama karanga"" na Jalango akituambia ndio official MC wake saa izo EABL wametuforce kukunywa chrome ati entry ni quatre moja",2023-10-19 04:33:00+00:00,1,1
"The last time I saw Diamond perform live was in Naivasha some years back,nakumbuka ni Chrome Walimleta. Sai naona EABL wamesema one more time hi mwezi Saturday Musa Keys will be performing at winning post Mungu wangu",2023-10-11 15:58:00+00:00,6,0
Hii pombe watu wa Mulot wamshindwa kuduplicate sasa ikiwa low on production huko EABL mtaifeel😂😂 hujai jiuliza mbona chrome haiwezi isha kwa market?,2023-09-30 07:46:00+00:00,3,1
Chrome ni 850/- na madem outfits zenu hua ata hazipiti 150/- . respect EABL,2023-09-24 12:36:00+00:00,0,0
Mimi huku napiga picha na Chrome Gin na hata Ka-Kwota @EABL hawaezi nirushia.... NKT!,2023-09-22 12:03:00+00:00,0,1
Chrome ya Eabl ama ya Githurai?,2023-09-21 11:33:00+00:00,4,0
Kuna time I was at a local and the woman in charge was placing an order. The eabl person told him that chrome vodka Bado haiko. So I figured it hasn't been there for a while. Same day I meet a friend drinking chrome vodka. I knew he was drinking something else,2023-09-21 11:15:00+00:00,3,0
Bado tu ni the same chrome produced by EABL difference ni kwa legality,2023-09-21 08:56:00+00:00,4,1
"EABL announced that they stop manufacturing chrome long time ago, but you will still find chrome in the market.  Any fast going drink in the market is counterfeit",2023-09-21 08:14:00+00:00,0,0
A 250 ml Smart vodka retail at ksh.150 while 250ml chrome retails at 250. Smart is cheap coz the makers evade taxes while EABL pays taxes. At the end EABL encounters slow sales,2023-09-20 07:44:00+00:00,1,3
"In EABL wajaribu tu chrome ispil , tutalamba lami 🤣",2023-09-13 06:33:00+00:00,0,0
Aki hii mwaka life imeniperemba mpaka niliwacha kucomplain..😫😅 haya sasa nitafutieni kazi ata kama ni ya kuokota chupa za chrome gin @EABL_PLC,2023-09-09 10:42:00+00:00,0,0
@EABL_PLC    Hope  now  you can  collect  your  chrome   detergents   glass  bottles  littering the  whole  country.,2023-08-30 06:34:00+00:00,0,0
si muunde chrome pineapple. Sales zitaenda 📈,2023-08-21 04:02:00+00:00,0,0
Well said😂😂lakini EABL imeongeza bei ya chrome na 50 😩😩😩wametugusa pabaya 🥲,2023-08-19 08:31:00+00:00,2,0
"Pombe poor Quality ndio @EABL_PLC @KWAL @UDV wanafaa Ku support gava to fight bana Hii story ya kununua Konyagi, Chrome Gin/Vodka, Gilbeys kwa Wines ama Supermarket unakunywa ama kama umefunga macho haileti shangwe... Compromising life for profit is what should be dealt with.",2023-08-15 20:49:00+00:00,1,0
"You forget quite easily,do you remember towards elections, eabl claimed they stopped chrome production in June 22  but the supply remained steadfast untill late into Dec 22,where was the supply coming from?",2023-08-15 10:47:00+00:00,0,0
"People think chrome vodka & gin are for people who don't have money but in retrospect, they are @EABL_PLC brands and are hard to counterfeit. I'd drink Chrome any day.",2023-08-15 09:31:00+00:00,1,1
@EABL_PLC ati chrome gin ni soda kwa streets?,2023-08-07 20:51:00+00:00,0,0
Good day my guys. I'd love to share some stuff with you. Nitume wapi? We have alot of new items that we haven't posted yet. And alot of stuff from chrome gin and vodka and also other brands from eabl.,2023-08-02 09:28:00+00:00,0,0
Eabl Walisema chrome iliacha kumanufacturiwa 2020... Tunakunywa changaa manze 😣,2023-07-24 11:30:00+00:00,0,0
"Chrome Gin is just a brand name huko EABL, so Gin is produced huko",2023-07-14 23:51:00+00:00,0,0
I just spoke to one guy from EABL and he told me Chrome Gin (Mzinga) hasn't been available for a while. I wonder what you're drinking guys.,2023-07-14 10:25:00+00:00,0,0
@EABL_PLC mumesema pia Chrome will be there no matter what😂😂😂,2023-07-07 11:39:00+00:00,4,1
"Guys need to know that there is a Liquor Store at EABL Ngumba area selling legit Drinks, Chrome included. Get from the Source or even SuperMarkets.",2023-06-29 18:37:00+00:00,4,0
Watu wangu wa chrome msikunywe sumu at ni cheap. Come to Mabatini  We only get from @EABL_PLC liscenced suppliers.,2023-06-28 13:45:00+00:00,1,0
KBL of EABL stopped production of CHROME GIN two years ago.  Pia GILBEYS ingine you drink and be holding your head the whole wknd and puking. Mtakufa!  @EABL_PLC @GilbeysKe,2023-06-28 12:46:00+00:00,0,0
