text,date,No_of_likes,No_of_tweets
$EABL shares down by 0.51% at USh 7089.32,2019-12-30 10:30:00+00:00,0,0
Back at it with my request to have @TuskerCider launched in Uganda Cc: @EABL_PLC,2019-12-28 19:13:00+00:00,0,0
"We still have KBL and we also have EABL. EABL is a holding company for KBL, Serengeti Breweries and Uganda breweries.",2019-12-26 16:13:00+00:00,1,0
$EABL shares up by 1.41% at USh 7125.98,2019-12-23 12:00:00+00:00,0,0
Travel all the way to Uganda & get that tusker at 100 bob then do your maths😂,2019-12-22 07:47:00+00:00,1,3
Dear Members @MichaelKMugabi @GtUganda @DTBUganda @AbsaUganda @stanbicug @ubabank @newsUMA @newvisionwire @PepsiUganda @Cocacolauganda @nilepostnews @NblUg @CEOEastAfrica @EABL_PLC @LatoMilk @ToyotaUganda @DaksCouriersug @DHLAfrica @MinofHealthUG @MoICT_Ug @MoWT_Uganda @OPMUganda,2019-12-20 21:03:00+00:00,2,0
$EABL was up 0.86% at USh 7013.62 on Thursday,2019-12-19 17:00:00+00:00,0,0
$EABL shares up by 0.86% at USh 7013.62,2019-12-19 10:40:00+00:00,0,0
$EABL was up less than 0.01% at USh 6953.68 on Wednesday,2019-12-18 17:00:00+00:00,0,0
$EABL shares up by 0.01% at USh 6953.68,2019-12-18 10:20:00+00:00,0,0
$EABL shares down by 0.4% at USh 6953.1,2019-12-16 13:00:00+00:00,0,0
$EABL was down 0.30% at USh 6985.99 on Friday,2019-12-13 17:00:00+00:00,0,0
$EABL was up 0.35% at USh 7007.25 on Thursday,2019-12-12 17:00:00+00:00,0,0
$EABL was down 2.22% at USh 6982.52 on Tuesday,2019-12-10 17:00:00+00:00,0,0
$EABL shares down by 2.22% at USh 6982.52,2019-12-10 11:40:00+00:00,0,0
$EABL shares down by 0.11% at USh 7141.25,2019-12-09 11:30:00+00:00,0,0
$EABL was up 0.98% at USh 7149.13 on Friday,2019-12-06 17:00:00+00:00,0,0
$EABL shares up by 0.76% at USh 7149.13,2019-12-06 10:50:00+00:00,0,0
