text,date,No_of_likes,No_of_tweets
Parked on a disabled parking. Is that EABL's idea of Corporate Social Responsibility? #Tusker #CSR @Ma3Route @ntsa_kenya,2018-02-20 13:35:00+00:00,1,0
"Cheif administrative secretary inaendea chang'aa dealer, alcohol content, ma spirits, Tusker cider, KC coconut, EABL, walking breweries, Apewe Tusker Hon. @ApeweDivai 😂😂😂",2018-02-12 08:29:00+00:00,29,4
Currently reading the story of Tom Karanja..The boy who came up with the unique formula of Tusker Malt inspired by the death of his father who died of diabetes. Karanja later rose to become the EABL managing director.  Or so the story goes...,2018-02-11 11:52:00+00:00,0,0
"The bottled beer business grew by 5% driven by Tusker Cider, Tusker lite, white Cap and Balozi :Andrew Cowan EABL Group M.D.",2018-01-26 05:37:00+00:00,0,0
"Drat! Political uncertainty has Kenyans drinking less in HY 2017 EABL resultS: Senator Keg sales dipped undoing progress in Guiness & Tusker. Earnings -17%, Dividend 2.0/-   https://view.publitas.com/p222-7917/eabl-ltd-interim-financial-information-for-the-6-month-period-ended-31-december-2017/",2018-01-25 14:16:00+00:00,0,0
"EABL Tusker Malt I have one bottle that is not opened but is full of foreign bodies. See photo, plz what happened ? I love this drink",2018-01-22 11:30:00+00:00,0,0
They only tell us about the US in every Tusker and conveniently ignore the TUSK in every Tusker. And the addiction we battle with every bottle #eabl #theBestBeer,2018-01-08 17:33:00+00:00,0,0
The agency that does the Tusker ads for EABL... Damn bruh 👌👌👌👌👍👍👍👊,2018-01-08 04:01:00+00:00,1,0
We increase taxes on alcohol every financial year and that has never stopped EABL from sponsoring Tusker FC,2018-01-03 08:31:00+00:00,0,1
"Tusker or EABL pays the normal corporate tax... I don't which other tax you are talking about. Carol, Good question 👇",2018-01-02 19:31:00+00:00,0,0
"Oh yeah, because EABL doesn't sponsor Tusker FC, hasn't sponsored rugby,  athletics. Doesn't offer internship to hundreds of graduates,  isn't involved in a myriad of CSR's.  And get to know the ownership structure of Sportpesa by Pevans EA then we can do the diageo comparison",2018-01-02 18:38:00+00:00,1,1
It’s like me blaming EABL. Like TF?! If I get paid 10K and I chose to spend it buying Tusker how is that EABLs fault?! Yall sound bitter with that argument ati making young people not save! IT.IS. THEIR. CHOICE.,2018-01-02 13:43:00+00:00,5,1
Guineas is a global brand. Eabl is just a distributor. Ingekuwa kitu kama Tusker ungelalamika,2017-12-15 17:11:00+00:00,2,1
Don't confuse eabl with tusker breweries,2017-11-23 18:16:00+00:00,0,0
...EABL is building a Stadium in Ruaraka & abandoning that farm they call Tusker FC's homeground? 😂,2017-11-13 21:12:00+00:00,0,1
"Coke is the flagship brand in the Coca Cola company, zingine ni sideshows zenye hawawezi kubali zikue na sales mob kuishinda. Same case applies to Tusker at EABL",2017-11-09 05:23:00+00:00,1,1
#KenyaDecides How EABL protects its Tusker brand amid competition eskuls.com/how-eabl-protects…,2017-11-08 08:46:00+00:00,0,0
How EABL protects its Tusker brand amid competition https://kenyannews.co.ke/business-news/how-eabl-protects-its-tusker-brand-amid-competition/,2017-11-08 05:52:00+00:00,0,0
How EABL protects its Tusker brand amid competition  newssummedup.com/a/ge0iz3,2017-11-07 21:34:00+00:00,0,0
#KenyaDecides How EABL protects its Tusker brand amid competition eskuls.com/how-eabl-protects…,2017-11-07 20:18:00+00:00,0,0
#KenyaDecides How EABL protects its Tusker brand amid competition eskuls.com/how-eabl-protects…,2017-11-07 11:46:00+00:00,0,0
Halafu inakaa EABL ndio inafanyia Ekuru Aukot branding. Posters zinakaa za Tusker.,2017-10-16 16:31:00+00:00,0,0
"Hahaha kina guiness, Tusker, pilsner are made by EABL or KBL?",2017-10-07 10:32:00+00:00,0,1
EABL have Tusker FC my guy.,2017-10-06 10:56:00+00:00,1,0
Izi Tusker hata hazimalizi hii homa SMH... EABL OUT!,2017-09-29 20:46:00+00:00,0,0
At EABL AGM this morning @nimrodtaabu #investing #Tusker,2017-09-21 08:12:00+00:00,1,0
"A thousand expert hands brew every bottle of tusker, na mnangoja cholera iishe jameni? @eabl",2017-09-15 19:01:00+00:00,0,0
Hehe apatie watu wa EABL waongeze kwa Tusker bana,2017-09-05 20:09:00+00:00,1,2
"EABL needs to introduce Tusker cider lite #tuskerciderlite #EABL, thank me later. 😉 sugar free, less calories & a smaller bottle.",2017-09-05 12:09:00+00:00,2,0
The first sip of Tusker is pure sex.Eabl should win a global or lifetime award for this heavenly drink,2017-08-25 14:59:00+00:00,1,0
"Now this we can do! I wonder, what if it was Eabl that did this with tusker line. Would do a world of good in spreading the message.",2017-08-13 16:17:00+00:00,0,0
#HereistoUS in every tUSker #iconinc #prideofKenya #kbl #eabl… https://www.instagram.com/p/BXcpWt-A5Ffy8GYdOk6sLCAArbXyLBuBM6QBXI0/,2017-08-06 09:38:00+00:00,0,0
"Kenya premier league(KPL) defending champions Tusker Fc breakfast function@ 2west Eatery,EABL corporate offices, Ruaraka 08:00 hrs",2017-08-04 05:01:00+00:00,0,0
"Kenya premier league(KPL) defending champions Tusker Fc breakfast function@ 2west Eatery,EABL corporate offices, Ruaraka from 08:00 hrs",2017-08-04 04:58:00+00:00,0,0
"TUSKERの会社、純利益85億ケニアシリング(≒円)なのか。/ EABL full-year net profit up 6%, slashes operating costs wp.me/p8hE44-3CX",2017-07-30 08:31:00+00:00,3,0
EABL net profit up by 6 % to 8.5 Billion  Watu wa tusker ☝   🍻 @tuskerlager,2017-07-28 10:38:00+00:00,0,0
You know an ad was good when everyone knew the lyrics to them :D https://invidious.projectsegfau.lt/zROUz7m_2jY #Tusker #tbt #eabl @TuskerMaltLager @tuskerlite,2017-07-06 09:00:00+00:00,0,0
#eldoret7s its happening!!!🔥🔥🔥🔥🔥🔥🔥🔥🔥🔛🔝 tuskerlager #tusker eabl https://www.instagram.com/p/BWA_K60BPwH/,2017-07-01 19:19:00+00:00,0,0
Hii Kiwanda EABL inafungua Kisumu nataka nidunde hizo mitaa niitishe Job ya Kutest ama Tusker iko in the required Proportion,2017-06-28 13:07:00+00:00,0,0
What about checking on his friend in EABL (TUSKER) on his journey to 15B Kisumu tour of duty.,2017-06-28 11:31:00+00:00,0,0
"Desperate Lawyer Stuffs Tusker Bottle With Used CD, Sues EABL https://www.ghettoradio.co.ke/2017/06/20/desperate-lawyer-stuffs-tusker-bottle-with-used-cd-sues-eabl/ via @ghettoradio895 #JAHMROCKDOBA",2017-06-21 20:29:00+00:00,2,3
"Desperate Lawyer Stuffs Tusker Bottle With Used CD, Sues EABL #JAHMROCKOBA https://www.ghettoradio.co.ke/2017/06/20/desperate-lawyer-stuffs-tusker-bottle-with-used-cd-sues-eabl/",2017-06-21 20:28:00+00:00,1,1
"Desperate Lawyer Stuffs Tusker Bottle With Used CD, Sues EABL https://www.ghettoradio.co.ke/2017/06/20/desperate-lawyer-stuffs-tusker-bottle-with-used-cd-sues-eabl/ #HipHopRepublik",2017-06-20 17:30:00+00:00,2,0
"Eldoret: Man finds 'used' condom in his Tusker beer, sues EABL hivisasa.com/posts/12654e1f-… via @HiviSasa",2017-05-14 05:01:00+00:00,0,0
"Eldoret: Man finds 'used' condom in his Tusker beer, sues EABL hivisasa.com/posts/12654e1f-… via @HiviSasa",2017-05-13 18:26:00+00:00,0,0
#TurntReggaeThursdays Lawyer in Eldoret is suing EABL after he found a USED condom in his unopened Tusker #UhuruInLondon #VictoriasLounge,2017-05-11 19:21:00+00:00,9,2
"Tusker Cider is in a can, Pilsner has a 7% variant. EABL is doing the most and I'm here for it all.",2017-04-22 12:56:00+00:00,6,3
"@TuskerMaltLager ,EABL keeps launching new brands,yet all that we wanted was the old look Tusker malt... the bottle,elephant,the signature.",2017-04-20 04:55:00+00:00,0,0
but I think you can strike a balance and create a market for both ...eg EABL Guinness vs Tusker,2017-04-18 09:59:00+00:00,0,1
"EABL adapts to changing beer market with new beers, including Pilser strong and canned Tusker Cider https://www.standardmedia.co.ke/article/2001236462/hip-revelers-force-brewers-to-be-creative",2017-04-16 19:06:00+00:00,0,1
"EABL forecasts slow Tusker, Guinness growth on tax rise (Kenya) asokoinsight.com/news/eabl-f…",2017-04-05 10:40:00+00:00,0,0
"EABL forecasts slow Tusker, Guinness growth on tax rise (Kenya) asokoinsight.com/news/eabl-f…",2017-04-04 12:06:00+00:00,0,0
EABL forecasts slower growth on their Tusker and Guinness brands in the medium term,2017-04-04 10:48:00+00:00,0,0
"EABL forecasts slow Tusker, Guinness growth on tax rise bit.ly/2owZBt9",2017-04-04 10:15:00+00:00,2,0
"EABL forecasts slow Tusker, Guinness growth on tax rise bit.ly/2owZBt9",2017-04-04 07:06:00+00:00,1,0
EABL's leading brands Tusker and Guinness are projected to register sluggish growth in the medium term due to higher taxation - Diageo.,2017-04-04 07:06:00+00:00,1,0
"EABL forecasts slow #Tusker, Guinness growth on #Tax rise: mambokenya.com, mambokenya.com/page/8864104",2017-04-04 05:36:00+00:00,0,0
"EABL forecasts slow Tusker, Guinness growth on tax rise bit.ly/2nPUlxV",2017-04-03 19:55:00+00:00,1,0
BTW the new Tusker ad is unparalleled. EABL always getting A plus on ads.,2017-03-28 18:14:00+00:00,0,0
@Simbasoccer Management of EABL and management of Tusker fc are different #SSKPL,2017-03-25 04:48:00+00:00,0,0
George Hurst laid the ground for the formation for  (EABL).Later killed and bro names lager as Tusker,2017-03-20 18:52:00+00:00,0,0
EABL recently recorded a drop in volumes of premium and mainstream bottled  beer such as Tusker after an aggressive 43% hike in excise  duty,2017-03-07 04:14:00+00:00,1,1
EABL targets millenials to drive its Tusker sales ow.ly/kAN2308uwlf via @mundaconstant,2017-01-30 16:05:00+00:00,1,0
"EABL targets the youth to drive its #Tusker #Sales: mambokenya.com, mambokenya.com/page/7695377",2017-01-29 08:23:00+00:00,0,0
"EABL targets the youth to drive its #Tusker #Sales: mambokenya.com, mambokenya.com/page/7695377",2017-01-29 08:04:00+00:00,0,0
"EABL targets the youth to drive its #Tusker #Sales: mambolook.com/corporate/sale…, mambolook.com/link/7695377",2017-01-29 07:03:00+00:00,0,0
EABL targets the youth to drive its Tusker sales ow.ly/fsM5308rqiQ via @mundaconstant,2017-01-29 04:30:00+00:00,1,1
EABL targets the youth to drive its Tusker sales  newssummedup.com/a/re4z5k,2017-01-27 23:56:00+00:00,0,0
"EABL wanalia ni tax, ama mliacha kukunywa Tusker",2017-01-27 19:19:00+00:00,0,0
The reduction in EABL net profit was due to the introduction of Tusker Cider,2017-01-27 18:57:00+00:00,0,0
"Young people have fallen out of love with the iconic Tusker lager, says brewer EABL as it releases its half-year results",2017-01-27 11:18:00+00:00,2,5
Kenyans shifting taste to spirits as EABL posts a 13% decline in it's beer market. Tusker Cider outperformed market expectations @KTNNews,2017-01-27 05:40:00+00:00,0,0
"""UBL recorded a double-digit in Tusker Lite,"" EABL MD, A.Cowan",2017-01-27 05:35:00+00:00,0,0
"""Tusker Cider growth was incredible,"" EABL MD, A.Cowan",2017-01-27 05:34:00+00:00,0,0
"EABL’s performance was further enhanced by our innovation pipeline including Tusker Cider, Smirnoff Ice Electric Ginseng & Black Bell.",2017-01-27 05:31:00+00:00,1,0
