text,date,No_of_likes,No_of_tweets
Going to EABL Liqour Shop to buy all the Guinness Smooth they have to make them hit their KPIs,2024-01-30 07:10:00+00:00,4,0
@EABL_PLC,2024-01-16 12:19:00+00:00,0,0
@EABL_PLC mimi nilishindwa kununua Guinness at kshs 300 ilibidi niingie kwa local brews,2024-01-13 06:20:00+00:00,8,1
"EABL have done the thing...expect changes to prices of White Cap, Guinness and Tusker Cider",2024-01-10 09:30:00+00:00,0,0
At 10% v/v it's too strong to rival mainstream brands at EABL with Guinness at 6.5% and others below. Highly unlikely.,2024-01-09 14:16:00+00:00,6,1
9. Axios reporting that Diageo might be looking to divest the rest of its beer portfolio apart from its flagship brand Guinness.  —Among the beer brands the company could sell is EABL's Tusker. —Diageo increased its stake in EABL from 50% to 65% of EABL earlier this year.,2023-12-07 04:00:00+00:00,3,2
Axios reporting that Diageo might be looking to divest the rest of its beer portfolio apart from its flagship brand Guinness.  —Among the beer brands the company could sell is EABL's Tusker. —Diageo increased its stake in EABL from 50% to 65% of EABL earlier this year.,2023-12-06 10:21:00+00:00,59,3
Tag your favourite Kafunda.   #Guinness #kafunda #monday #jinja @EABL_PLC @GuinnessIreland,2023-12-04 14:33:00+00:00,14,0
"Musunga, who has been heading the firm's Guinness Nigeria since October 2022 and also serves as a non-executive director at East African Breweries Limited (EABL), will assume the new leadership role at Diageo SWC as the Managing Director, based in London",2023-11-29 10:21:00+00:00,0,1
Btw mtafte pesa watu wangu. Dark si Guinness na clear si Tusker! Enjoy premium beer! Alafu @EABL_PLC mfanye mambo pia nyinyi 😂,2023-11-25 19:40:00+00:00,0,0
"All the feminists at EABL won't allow you to have your normal drunk to ad their drinks. Be content with these cute huns and metrosexual men, probably wote ni wa  🌈 coalition but do I care. Nipee Guinness baridi na Coca-Cola hapo nikuonyeshe",2023-10-04 21:36:00+00:00,0,0
"3. EABL— Sh105 Billion The largest brewer in East Africa, produces and distributes a variety of  alcoholic and non-alcoholic beverages, such as Tusker, Guinness, and  Alvaro. EABL has a strong presence in Kenya, Uganda, Tanzania, South  Sudan, Rwanda, and Burundi.",2023-09-22 18:27:00+00:00,2,1
Is the bulk of EABL’s business <5% ABV Tusker/Guinness - Beer or >30% ABV Johnnie Walker/Tanqueray - Spirits?   The illegal producers must love irrational tax policies……..🙈.,2023-09-17 06:37:00+00:00,0,1
"Bana, they employ a Guinness brand managers br kwa ground they take Jaggermeister and other imports. Bt this one looks real, he takes what he was promoting.",2023-08-19 10:19:00+00:00,3,0
"This, therefore, means that the decision by Guinness PLC in 2000 to acquire a majority shareholding of EABL was against the public interest, says Rono in the petition filed in June.   https://nairobilawmonthly.com/cma-defends-approving-eabl-share-acquisition/",2023-08-16 03:00:00+00:00,0,0
Former Kenya Breweries Limited Managing Director John Musanga joins EABL PLC board. Musanga is currently the Managing Director of Guinness Nigeria. He joins the brewer's board as a non-executive director,2023-07-01 09:24:00+00:00,0,0
"Drinking habits have changed greatly.Few years ago when I drank liberally, my good old Tusker was all the rage. Nobody drinks it anymore. Even Guinness is not common anymore. Don't even mention Pilsner, last time I saw it was like 10 years ago, literally!@eabl",2023-05-22 16:15:00+00:00,1,0
I once bought a Guinness 6-pack and later found one of the cans half full. The store refused to take responsibility. How could such a can pass the checks at EABL?,2023-03-09 09:05:00+00:00,0,1
@EABL_PLC pay this old men for promoting your Guinness brand,2023-03-05 14:06:00+00:00,0,0
"Guinness Smooth Campaign “Easy Going, Smooth Flowing” Beer went up today on our media. “We believe that life is best enjoyed with an easy-going positive outlook, a playful spirit, and an openness to flow smoothly with new possibilities” @Guinness_Uganda @EABL_PLC @SaladinOMD",2023-02-27 13:38:00+00:00,2,0
"Diageo’s move to increase its stake in EABL after taking a controlling stake in the company from its Guinness subsidiary in 2000 is seen as a vote of confidence in the business, which reported flat profit in the six months to December as higher costs and taxation offset gains in",2023-02-15 04:26:00+00:00,0,1
"Wewe unakunywa pombe za EABL ama keroche's? Your big-spending friends hutumia nini? EABL has a legacy as a corporate brand with household beer brands. Tusker, Guinness,White Cap are just unbeatable. Najua Guinness is produced under licence before uropokwe tena.",2023-01-31 23:27:00+00:00,1,0
"what happend to the @EABL_PLC  Guinness Stout Effort Award, because clearly there are deserving recipients such as this officer and a gentleman",2023-01-27 18:09:00+00:00,0,0
