text,date,No_of_likes,No_of_tweets
Real Gs know the difference between keg ya EABL na ya Keroche,2024-01-17 17:35:00+00:00,4,1
Ey! Pole kwa kuugua. Na ua napitia happy EABL kila siku sijawahi one hizi chupa around? Naonanga za tusker na mitungi za keg Tu?!,2024-01-16 14:06:00+00:00,0,1
"Yeah,, alafu kuna watu wanaongeza turbo charger (chrome) kwa hiyo black keg. Round moja watu washalewa at a minimal cost 😅",2024-01-13 07:23:00+00:00,1,1
Black keg took their space,2024-01-13 06:51:00+00:00,1,1
@EABL_PLC mbona hakuna keg regular mukuyu muran'ga ☺️,2024-01-06 06:27:00+00:00,0,0
"Kuna keg ya savannah, hukuwa different na EABL",2023-12-31 14:22:00+00:00,0,1
So this is the trick ..And the EABL keg tastes so good .. Hangover free too,2023-12-25 09:34:00+00:00,20,1
Toka my boy johny anunue pump na mtungi ya keg I have never visited a wines to purchase liquor. Unatokea tu na 4k mnajaziwa mtungi ya black keg hapo kwa depot ya eabl alafu mnalewa three consecutive days 😭,2023-12-25 06:32:00+00:00,503,15
EABL mazee keg ndio standard sahii,2023-12-15 05:32:00+00:00,0,0
"I have a friend who works in EABL na yeye hukunywa KEG . Nikimuuliza the reasons yeye husema ile siku nitajua what happens inside EABL , then nitakuwa nakunywa keg",2023-12-07 08:01:00+00:00,11,1
"By the way Kwanini even the senior guys working at EABL wanakunywa Keg? Do they know something the rest don't?  Last weekend an engineer there told me tukijua siri tutafurahi. What's that secret?  Ni kama keg sio mbaya, shida ni mahali hiyo kitu huuziwa.",2023-12-07 07:44:00+00:00,729,27
It's like watu wanakunywa counterfeit badala ya original because EABL made losses but consumption went up from NACADA. @DCI_Kenya also explore fake beers and KEG,2023-11-26 04:13:00+00:00,0,0
Walai? Sijapitia site yao me hujua wao ni Senator keg solo. Eabl ndio nimepitia  products zao. Utaona what we drink is a fraction of  what they have,2023-11-25 09:46:00+00:00,0,0
@EABL_PLC  where is black keg?,2023-11-17 06:19:00+00:00,0,0
"Reminds me of that Keg situation after they increased taxes. Lost revenue, farmers orders zikakuwa cancelled by EABL...",2023-11-16 07:08:00+00:00,1,0
@EABL_PLC  wapi keg ya black mzee,2023-11-15 17:16:00+00:00,0,0
"@EABL_PLC what happened to dark keg supply in Nyeri,a week without supply",2023-11-15 05:36:00+00:00,0,0
"We already know they are reducing the price of Keg after partnership of govt and EABL, but Kenyans focusbis on petrol and food",2023-11-12 17:09:00+00:00,1,0
"@EABL_PLC There's shortage of Black Keg. The jaba guys who never get anything wrong, claim they've created artificial shortage of Black Keg, to clear stock of Regular Keg, as recently regular keg is a slow mover.  Just checking: kuna black Keg kwenu?",2023-11-11 16:07:00+00:00,1,0
"Bad news  for EABL! Middle class ditch spirits, beer for keg on higher taxes | Business Daily https://www.businessdailyafrica.com/bd/economy/middle-class-ditch-spirits-beer-for-keg-on-higher-taxes--4427830",2023-11-09 17:46:00+00:00,2,0
Malema is saying he fears only extra cold keg from EABL barrels,2023-11-09 14:37:00+00:00,1,0
The govt has directed EABL to add more water on KEG beer 😂 cheers yaal 🍻,2023-11-09 13:16:00+00:00,2,0
"Kuna place fake beer hutengenezewa Mathare. They also sell fake keg.  Tastes the same, but si ya EABL",2023-11-03 13:12:00+00:00,1,1
Matano atupee 15 straight wins ama tumhamishe Nairobi akauzie EABL keg huko meru😂,2023-10-06 21:29:00+00:00,3,2
Naambiwa hio beer Iko down so ni kama kuona Nikita Kering aki advertise jug ya keg. Definitely the wrong choice of influencer,2023-10-04 12:05:00+00:00,1,0
These people are idiots. He should look into why EABL introduced keg and how much it helped,2023-09-21 14:44:00+00:00,0,1
"On this, lets change the driver!  EABL, now runs like a keg joint. (Sorry they own keg)  We have a clueless, radar less, and gambling management in place. The board was beaten to submission long ago.  No hope! No recovery.",2023-09-19 20:35:00+00:00,0,0
Ku install pump na can ya keg ni how much I need one and a license from eabl,2023-09-15 17:35:00+00:00,25,0
"Keg is not illicit/ drugs. Keg is supplied by big boys FYI. EABL inapeana msee, kama msee anasupply makali na Keg Buru/Umoja ndio bado supplier in Kisii town. Those ones can pull grenades on you any minute.",2023-09-09 17:26:00+00:00,3,1
"If the government cracked down on counterfeits and illicit brew decisively, people would be forced to work to buy good alcohol.  Otherwise, the ""thirst"" has always been there. That's why Kibaki tried to solve it with keg. But now it has been taxed so highly...",2023-09-02 21:06:00+00:00,0,1
Huwezi compare na joints za keg na bars,2023-09-02 16:18:00+00:00,0,1
Wakubwa wa EABL hawaezi itikia....itakuwa hasara kwao......nani atakunywa keg😅....deep state ndio kusema,2023-08-26 20:33:00+00:00,2,2
"Apart from trying to replace killer brews with keg 🍻, there's literally zero promotional or talent propagation esp to the youths who are a good potion  of their clients. I can suggest to @EABL_PLC a number of promotion ideas for @SenatorKegLager",2023-08-18 23:53:00+00:00,3,0
"Diageo use Carol Musyoka to guide a tour of their keg outlets, whiskey rivers and into the Westlands, Nairobi where  girls serve bottles @EABL_PLC #alcoholad https://drinkawaste.com/2023/08/15/diageo-use-carol-musyoka-to-guide-a-tour-of-their-keg-outlets-whiskey-rivers-and-into-the-westlands-nairobi-where-girls-serve-bottles-eabl_plc-alcoholad/",2023-08-15 10:02:00+00:00,0,0
But keg ni 100% inatoka EABL.,2023-08-15 03:14:00+00:00,1,2
"Sipendi venye EABL waliamua kudilute keg ,like msee unaangusha jug kama kumi na mbili na Bado uko on ajab🤔🙄",2023-08-04 18:41:00+00:00,3,0
Ii yao ata si ya EABL. ni ya hio kampuni flani inajiita Kenyan Originals. Kamtungi ka keg ni ka 25 litres. Keg inaonja kama Tusker lite bana.,2023-07-20 11:18:00+00:00,1,1
Why exteme taxation (excise) on cigarettes and beer (Senator Keg) neither helps consumers nor National Treasury revenue @BatKenya @EABL_PLC @kenyabreweries #IllicitTrade #StopIllicitTrade,2023-07-13 22:25:00+00:00,75,1
"Lives are lost because of the consumption of illicit cheap backstreet liquor not decent drinks. To counter illicit drinks  EABL introduced senator Keg, a clean drink at a pocket friendly price. @khakis_vendor is a member.",2023-06-21 13:00:00+00:00,1,3
"You find that all wines and spirits are closed and small bars owned by the ordinary person. So you have one bar and restuarant, which is operating 24 hours. Patrons wana kesha, pesa inarudi kwa EABL because people have resorted to Keg",2023-06-21 12:14:00+00:00,0,0
Nikianza kuzungusha KEG Jioni CBD mtanisupport? 📷📷📷 @SenatorKegLager @EABL_PLC,2023-06-16 11:20:00+00:00,4,3
Kumbe keg ya @EABL_PLC  is a huge brand,2023-06-16 08:15:00+00:00,0,0
The reason the late President Kibaki came into an agreement with EABL to produce keg alcohol was to discourage illicit brews that are cheap. Making alcohol expensive only encourage consumption of illicit brews.,2023-06-15 16:46:00+00:00,7,0
A small lesson in excise duty. Keg is basically tax free. It is made by EABL from sorghum and millet. Bottled beer is made from barley. It is sold in kegs not bottles to ensure it is sold in bulk. Most of the money gained from keg is channelled to farmers of sorghum and millet,2023-06-13 19:48:00+00:00,0,0
"Yes kuna fake makali mob, but EABL please msifute hao ma QC wa keg,",2023-06-13 17:36:00+00:00,0,0
"kuna morio ali lease land for 2 years from a widow,planted a cumulative 4 tonnes of this shid  sold it all to eabl suppliers for prodution of keg.  mandem went to uganda and bought ten acres of land. siko sure but utapata he leased the land for like 10k a year",2023-06-10 06:17:00+00:00,3,1
Next @CocaColaAfrica should be pushed to do it's sugar processing here. EABL should go beyond using sorghum for Keg and move into serious barley farming for its beers.,2023-05-24 03:32:00+00:00,0,0
"Just remove the high taxes from genuine alcohol, the illicit will lose market and EABL will pay highest corporate tax from sales. That was the idea of introduction of keg.",2023-05-02 17:15:00+00:00,0,0
How has setting up senator keg plant helped? See this are conduits of corruption. There was absolutely no reason to exempt a rich company like EABL while sucking up the life of Keroche which had borrowed loans. We can now see the connection. Very bad and must be corrected now.,2023-05-02 15:54:00+00:00,1,0
"It was waived as a result of aiding EABL to set the Senator keg plant, the Government is renaging on it's end of the agreement",2023-05-02 13:02:00+00:00,0,1
So after 20 years @KRACorporate waliemd akufuata EABL walipe tax and it's the government that gave EABL job ya making cheap illicit kama Senator Keg? #RogueKRA KRA Destroying Businesses  Undertaker Taxman,2023-05-01 07:52:00+00:00,1,0
"10 years after, EABL should not be crying for tax waiver on Keg. They should have set their infrastructure by now.walipe tax.",2023-05-01 06:22:00+00:00,0,0
"In 2004, GoK reached out to EABL with a tax waiver incentive to establish a new & cheap product to help in fighting illicit brews & Senator Keg product was birthed. Today, KRA has made a turn around move and is demanding Ksh. 8 billion in taxes from EABL. https://mambomseto.co.ke/kra-pulls-another-shocker-move/",2023-05-01 05:14:00+00:00,37,14
The government was not satisfied with the initial rollout of Senator Keg and accused EABL of not doing enough to reach out to the low-income population that the beer was meant to target. KRA Destroying Businesses  Undertaker Taxman #RogueKRA,2023-05-01 05:03:00+00:00,0,0
The government was not satisfied with the initial rollout of Senator Keg and accused EABL of not doing enough to reach out to the low-income population that the beer was meant to target. KRA Destroying Businesses  Undertaker Taxman #RogueKRA,2023-05-01 04:51:00+00:00,0,1
The government was not satisfied with the initial rollout of Senator Keg and accused EABL of not doing enough to reach out to the low-income population that the beer was meant to target. KRA Destroying Businesses  Undertaker Taxman #RogueKRA,2023-05-01 04:50:00+00:00,0,0
The government was not satisfied with the initial rollout of Senator Keg and accused EABL of not doing enough to reach out to the low-income population that the beer was meant to target. KRA Destroying Businesses  Undertaker Taxman #RogueKRA,2023-05-01 04:45:00+00:00,0,1
The government was not satisfied with the initial rollout of Senator Keg and accused EABL of not doing enough to reach out to the low-income population that the beer was meant to target. KRA Destroying Businesses  Undertaker Taxman #RogueKRA,2023-05-01 04:45:00+00:00,0,1
The government was not satisfied with the initial rollout of Senator Keg and accused EABL of not doing enough to reach out to the low-income population that the beer was meant to target. KRA Destroying Businesses  Undertaker Taxman #RogueKRA,2023-05-01 04:43:00+00:00,0,0
"EABL's decision to produce Senator Keg was controversial among some segments of the population, who criticized the beer's quality and raised concerns about its potential impact on public health. KRA Destroying Businesses  Undertaker Taxman #RogueKRA",2023-05-01 04:41:00+00:00,0,1
EABL revised its marketing strategy and began partnering with local retailers and community organizations to promote the sale of Senator Keg. KRA Destroying Businesses  Undertaker Taxman #RogueKRA,2023-05-01 04:39:00+00:00,0,1
"EABL responded by launching a low-cost beer called Senator Keg, which was made from locally sourced sorghum and maize and sold in 500 ml plastic containers at a price of 25 Kenyan shillings. KRA Destroying Businesses  Undertaker Taxman #RogueKRA",2023-05-01 04:30:00+00:00,0,1
The government was not satisfied with the initial rollout of Senator Keg and accused EABL of not doing enough to reach out to the low-income population that the beer was meant to target. KRA Destroying Businesses  Undertaker Taxman #RogueKRA,2023-05-01 04:12:00+00:00,0,0
"EABL responded by launching a low-cost beer called Senator Keg, which was made from locally sourced sorghum and maize and priced at 25 shillings, significantly cheaper than its existing products KRA Destroying Businesses  Undertaker Taxman #RogueKRA",2023-05-01 04:08:00+00:00,0,0
The #RogueKRA has revisited the waiver EABL got in 2004 to from GoK to enable them set up the Senator Keg plant and produce the low cost beer to save masses from illicit alcohol.  KRA destroying Businesses  Undertaker Taxman,2023-05-01 04:03:00+00:00,0,0
"Breaking News: KRA is now demanding, EABL for a staggering Ksh 8.2 billion. In order to set up the Senator Keg facility and produce affordable beer to protect the general public from illegal alcohol, EABL received a waiver from the GoK in 2004.   KRA has now reviewed this waiver.",2023-04-30 08:04:00+00:00,25,3
"The Kenya Revenue Authority (KRA) is revisiting the tax waiver @EABL_PLC got in 2004 to enable them to set up the Senator Keg Plant & produce the low cost beer to save masses from illicit alcohol in Central ,. etc. KRA is demanding a whole Ksh 8.2bn from EABL. Khabusie!",2023-04-29 10:23:00+00:00,21,1
"EABL lied, Keg beer was there long before Kibaki became president.",2023-04-29 09:23:00+00:00,0,1
"The curious questions would be;  Was the outcome achieved? Is Keg cheaper and affordable to its target audience? Did EABL, use the waiver for the intended purpose? Thank you very much.",2023-04-29 09:18:00+00:00,3,0
It is weird that Ruto's administration has coerced @KRACorporate to revisit the waiver EABL got in 2004 from Kibaki's GoK to enable them set up the Senator Keg plant and produce the low cost beer to save masses from illicit brews.  KRA is now demanding Ksh 8.2bn from EABL.,2023-04-29 07:55:00+00:00,282,30
Hapo naona EABL wakilipa itabidi sasa Keg ipandishwe bei,2023-04-29 07:10:00+00:00,0,0
KRA has revisited the waiver EABL got in 2004 to from GoK to enable them set up the Senator Keg plant and produce the low cost beer to save masses from illicit alcohol. KRA is now demanding a whooping  Ksh 8.2bn from EABL.,2023-04-29 06:27:00+00:00,414,48
"Boss, you can't seriously not be seeing an issue with the overtaxation of alcohol and rise of illicit drinks. EABL is already in court over concessions from government on Keg production from Kibaki era that were taken away. RRP of 1 beer bottle is over 200bob !",2023-04-24 16:57:00+00:00,0,1
Hakuna genuine eabl beer. Keg inaharisha watu sana hapa,2023-04-17 08:31:00+00:00,0,0
"Hello @EABL_PLC , tunataka  muanze kudeliver keg moto . Juu hii baridi na keg baridi ni kama haziendani.",2023-04-14 09:40:00+00:00,1,0
"Before joining Safaricom, Ndegwa worked as the strategy director of East African Breweries Limited (EABL). He is accredited for the success of the company’s brand - Senator Keg.",2023-04-10 05:36:00+00:00,13,1
"I can have 2k to indulge, but I just walk into a KEG joint pay 350, and utoke uko maji mbaya and save like 1500/-  EABL don't realize the potential of that drink.",2023-04-07 18:20:00+00:00,0,1
Oya unaweza fanya ya keg @EABL_PLC 😂😂,2023-03-29 07:08:00+00:00,1,1
Kweli wewe ni fala. You think Kisumu people don't plant maize and other grains? Ask EABL why keg is brewed in Kisumu.,2023-03-10 11:59:00+00:00,4,0
Tax relief on EABL’s Senator keg drops by US$192.5m in three years | Food Business Africa Magazine - https://nairobitimes.co.ke/2023/02/18/tax-relief-on-eabls-senator-keg-drops-by-us192-5m-in-three-years-food-business-africa-magazine/,2023-02-18 12:09:00+00:00,0,0
