text,date,No_of_likes,No_of_tweets
It's a promotion by EABL. They always do Tusker Oktobafest in Kenya but this time they have in each of the countries and have named it by their local beer in each country. In UG it's Bell Oktobafest while in TZ it's Serengeti Oktobafest,2023-10-18 16:52:00+00:00,5,1
Why is it you have tuskers n Pilsner sold in Uganda n tanzania yet you don’t allow Serengeti n bell to be sold in kenya.. what kind of EABL is that,2023-07-29 06:10:00+00:00,0,0
EABL picks Serengeti Breweries Boss Martin Ocitti to head Kenya Breweries | Food Business Africa Magazine - https://nairobitimes.co.ke/2023/01/29/eabl-picks-serengeti-breweries-boss-martin-ocitti-to-head-kenya-breweries-food-business-africa-magazine/,2023-01-29 09:07:00+00:00,0,0
"The polycarp igathe of brewery top cream management.......man's hasn't been jobless for over 20yrs always in management all over East Africa from EABL Kenya🇰🇪,Serengeti 🇹🇿, Uganda 🇺🇬 Breweries and now back and KBL Kenya 🇰🇪",2023-01-28 16:35:00+00:00,4,0
"After overseeing unprecedented growth, investment and launch of innovations at Serengeti Breweries since 2019, @Markocitti  has been appointed the Managing Director of @KenyaBreweries, @EABL_PLC's largest subsidiary.  Congratulations @Markocitti https://www.ceo.co.ug/eabl-taps-mark-ocitti-ongom-to-head-kenya-breweries-limited-as-managing-director/",2023-01-28 08:08:00+00:00,15,0
"After overseeing unprecedented growth, investment and launch of innovations at Serengeti Breweries since 2019, @Markocitti  has been appointed the Managing Director of @KenyaBreweries, @EABL_PLC's largest subsidiary.   Well deserved @Markocitti https://www.ceo.co.ug/eabl-taps-mark-ocitti-ongom-to-head-kenya-breweries-limited-as-managing-director/",2023-01-28 08:07:00+00:00,1,0
So that good. Watu wamepunguza pombe..... Ama u need more drunkards..???,2023-01-27 09:23:00+00:00,1,0
"I don't expect you guys to announce loses,koz as far as I know, for the last half year,we have been drinking  your products",2023-01-27 05:58:00+00:00,1,0
"#BIASHARA KAMPUNI ya Bia ya Serengeti Breweries (SBL) imezidua ripoti yake ya shughuli endelevu chini ya kampuni tanzu ya East Africa Breweries Limited (EABL) inayoonyesha mafanikio mengi katika nyanja ya mazingira, jamii na utawala./https://bit.ly/3YBHZKM",2022-12-19 10:47:00+00:00,4,0
EABL upped its stake in Serengeti in 2021 (subsidiary loan conversion to equity stake). Diageo now upping its stake in EABL. Reassuring signals to the market in an operating environment grappling with regulatory overreach through excise,2022-10-14 06:21:00+00:00,68,3
Very well deserved 🎉 congratulations to Alfred,2022-10-12 15:41:00+00:00,0,0
#congratulations to Alfred Balikagira who starts a new role as Operations Director at Serengeti Breweries Limited effective 01 November 2022 @UgandaBreweries @EABL_PLC @Diageo_News https://www.ceo.co.ug/serengeti-breweries-taps-ubls-alfred-balikagira-as-its-operations-director/,2022-10-10 11:07:00+00:00,1,0
Masaa n ya jioni #BeiYaJioni  Tupo hapa Serengeti Garden @NaziziHirji @MuzikalSheriff @EABL_PLC #DrinkBetterNotMore,2022-09-10 16:53:00+00:00,27,9
Tumefika Serengeti Cool Breeze  @NaziziHirji @MuzikalSheriff #BeiYaJioni @EABL_PLC #DrinkBetterNotMore,2022-09-10 16:00:00+00:00,14,0
"Wadau...Leo tupatane Eastern By-Pass, tutakua 1. Exit 11  2. Chilluz Garden 3. Serengeti Garden 4. Serengeti Cool Breeze @NaziziHirji alongside @MuzikalSheriff watakua in a da area! Usiwachwe nyuma. @EABL_PLC #BeiYaJioni #DrinkBetterNotMore",2022-09-10 07:42:00+00:00,9,1
"Serengeti Breweries Limited Finance Teambuilding 🚀   Productive teams focus on building chemistry among their teams. This training aimed to: ✴️ Strengthen team cohesion ✴️ Raise @EABL_PLC Finance team's synergy through cooperation exercises  [26/8/22, DSM]  #WeLoveTeambuilding",2022-09-08 08:25:00+00:00,2,0
⁦@SMane_Officiel⁩ and one other don’t care about the booze that impresses rest of their ⁦@FCBayernEN⁩ teammates. ⁦@CarolRadull⁩ ⁦@serengeti_tm⁩ ⁦@CharlesGacheru⁩ ⁦@pgacheru⁩ ⁦⁦@EABL_PLC⁩ ⁦@MistaWahome⁩,2022-08-29 19:25:00+00:00,0,0
"In Tanzania, net sales grew 21%, driven by growth of the Serengeti Trademark and an expanded brand portfolio. Local production of spirits helped deliver further incremental growth, cementing the business as a total beverage alcohol player ~ @EABL_PLC MD Jane Karuku #EABLResults",2022-07-28 06:40:00+00:00,0,1
East African Breweries appoints Anne-Joy Michira as Marketing and Innovations Director https://www.foodbusinessafrica.com/east-african-breweries-appoints-anne-joy-michira-as-marketing-and-innovations-director/ #FoodNews #FoodbusinessAfrica #FoodIndustry #FoodIndustryNews #alcoholicdrinks @EABL_PLC @KenyaBreweries @UgandaBreweries @DiageoGB Serengeti Breweries,2022-05-18 07:39:00+00:00,1,0
More like the Serengeti logo...few modifications!,2022-03-03 09:34:00+00:00,15,3
"BOOZY INSIGHT   A battle of light beers is brewing in Tanzania 🍺  Serengeti Breweries, a unit of EABL, is the current market leader, according to unofficial data from impaired sources   TBL, a subsidiary of ABInBev, is playing catch up with it's two brands in the market",2022-02-19 14:28:00+00:00,41,0
"In a pandemic year, EABL externalized Kshs.8.3bn towards Serengeti Breweries.  https://callstreet.co.ke/blog/32-manufacturing/77-eabl-four-items-from-the-2021-financial-report-worth-your-attention",2021-11-23 07:22:00+00:00,1,0
Serengeti Breweries @EABL_PLC is the first #brewer in #Tanzania to introduce a 100% #malt #beer and to offer local brands which are made of 100% local raw materials. https://www.businessfocusmagazine.com/2021/10/06/serengeti-breweries-limited-the-right-taste/,2021-10-06 09:04:00+00:00,0,0
"EABL has manufacturing plants in three countries (Kenya,Uganda and Tanzania). They just completed acquisition of additional stake in Serengeti Breweries.",2021-10-06 05:48:00+00:00,2,1
Serengeti Breweries heightens competitive edge with launch of US$6.7m spirits processing plant https://www.foodbusinessafrica.com/serengeti-breweries-heightens-competitive-edge-with-launch-of-us6-7m-spirits-processing-plant/ #FoodNews #FoodbusinessAfrica #FoodIndustry #FoodIndustryNews #AlcoholIndustry @EABL_PLC,2021-09-28 06:44:00+00:00,0,0
