text,date,No_of_likes,No_of_tweets
@ArchieSyata 😂😂😂i always say that i am from eabl.naingia pap. Immediately.,2015-12-30 17:09:00+00:00,0,0
@Jemalito Okay EABL consumption manager,2015-12-30 15:43:00+00:00,0,2
@kuriamapesa nkama shares eabl usi ache any @katemumbi4 @wangariwambugu1,2015-12-30 12:43:00+00:00,0,0
#EABL shares up by 1.05 at UgShs 9030.84,2015-12-30 11:30:00+00:00,0,0
@TheTitoMaina Even Keroche and EABl decided to outsource  for glass bottles.. Diversity kills businesses.,2015-12-30 08:22:00+00:00,0,0
"Party this New Years Eve Party @ Aqua Blu with EABL!. Special offers on Ciroc, Singleton & Johnny Walker Black fb.me/WHXP1aGU",2015-12-29 20:38:00+00:00,0,0
#ICantTellWhy 98% of HELB money is invested in EABL.,2015-12-29 17:52:00+00:00,0,0
#MyTOP2016Resolutions stop drinking like I own the fcukin eabl🍺,2015-12-29 14:49:00+00:00,0,0
#EABL shares up by 0.82 at UgShs 8937.0,2015-12-29 13:00:00+00:00,0,0
"If u r a parent and you have a daughter aged 19-35, and she lives in Lang’ata, just insure her liver. Those Lang’ata women can outdrink EABL",2015-12-29 12:35:00+00:00,0,1
If only EABL were like pizza inn on tuesdays. Kenya would have been a better place @damaris_muthoni,2015-12-29 10:34:00+00:00,2,1
RT @MurirajohnK: #MyTOP2016Resolutions To drink and reduce my share of the EABL production @victormatara,2015-12-29 10:29:00+00:00,0,0
#MyTOP2016Resolutions To drink and reduce my share of the EABL production,2015-12-29 10:13:00+00:00,1,0
@TweetEquine @EABL @TheAnneNovak Smokey is back in first place!,2015-12-29 06:32:00+00:00,0,0
Retweeted afroditi (@girlgoat):  @TweetEquine @SavingHorses80 @EABL Outrageous proposal: BLM wants 2 spay... fb.me/7TnU43pbE,2015-12-29 02:41:00+00:00,0,0
Eabl has alot of goodwill and should avoid busy bodies who while working for them on the ground end up disenfranchising key partners.,2015-12-28 17:04:00+00:00,0,0
#EABL shares up by 0.4 at UgShs 8864.1,2015-12-28 12:30:00+00:00,0,0
#Before2016Begins am sure eabl will make billions from this guy,2015-12-28 04:47:00+00:00,3,0
@girlgoat @TweetEquine @SavingHorses80 @EABL @thehorse Don't spay the mares! Birth control would be more humane. Plus can't sell 4 horsemeat,2015-12-27 07:21:00+00:00,0,0
@TweetEquine @SavingHorses80 @EABL Outrageous proposal: BLM wants 2 spay #wildhorse mares! #fastrack2extinction thehorse.com/articles/36900/…,2015-12-27 07:01:00+00:00,3,2
knowable.com/a/he-didnt-want…,2015-12-27 03:12:00+00:00,0,0
El ñerrl de san rlqje nl rkenw eabl ñleqjw eqmln eqmkes se ml ha cletadl,2015-12-27 01:54:00+00:00,1,0
EABL 🏃🏻🏃🏻🏃🏻🏃🏻,2015-12-26 17:58:00+00:00,0,0
"12/26/2015 UPDATE: FORT POLK KISATCHIE EQUINES~MASSIVE  EXPOSURE NEEDED, SHARE!: https://m.facebook.com/notes/kim-sheppard/12262015-update-fort-polk-kisatchie-equinesmassive-exposure-needed-share/1032886806757109/",2015-12-26 17:17:00+00:00,1,0
I would include Tusker & Castle Lager on my #worstbeers list...explains why I have never bought. shares in EABL or SAB Miller Lol,2015-12-26 13:00:00+00:00,0,0
