text,date,No_of_likes,No_of_tweets
"A toast to visionary leadership!  We celebrate @AJ_Michira, Zuri Foundation Board Member, ascension to Marketing Director, SWCA, at @Diageo. May her brilliance continue to illuminate the path to success.   @eabl_plc #ZuriFoundation #InspireInclusion #ZuriAwards",2024-02-05 14:03:00+00:00,1,0
Heritage Foundation Project2025 Will dismantle all unions and make it illegal.  There will no longer be workers protection.  This is all in the #Project2025 manual.  read it  #UAWunionStrong,2024-01-31 19:21:00+00:00,25,5
"Also present were representatives from both the private sector and international organizations supporting climate action including Eric Kimiti (EABL), William Asiko and Yvonne Luseno (Rockefeller Foundation), Eric Munga (UNON) & Amy Auma (International Alert).  #PSRaymondOmollo",2023-11-25 17:13:00+00:00,0,0
I thank Hon Sharon Keter UDA nominated MCA from Baringo & her charitable foundation for another successful life-changing mission in Baringo.  Ghost Samora Machel Kasarani Baba the 6th EABL Bayern Munich kate Actress Ngong Khalwale Kalonzo Benny Hinn Erik Alvarez Newcastle LGBTQ,2023-09-20 12:51:00+00:00,6,1
Good move  to improving our climate,2023-08-25 15:16:00+00:00,0,0
Reminds me of Aga Khan Foundation   Serena Hotel,2023-07-28 09:08:00+00:00,0,1
Good work. A great service to the community.,2023-06-09 05:48:00+00:00,0,0
"Well done, 👏👏👏👏👏",2023-06-08 19:19:00+00:00,0,0
Service to the community 👍,2023-06-08 18:51:00+00:00,0,0
Good work giving back to the community,2023-06-08 17:30:00+00:00,0,0
Job well done,2023-06-08 17:15:00+00:00,0,0
👏👏👏👏👏,2023-06-08 15:41:00+00:00,1,0
Good work,2023-06-08 14:52:00+00:00,2,0
Lbda reaching the community with clean water.,2023-06-08 14:40:00+00:00,2,0
"LBDA MD  @WycliffeOchiaga  & @KenyaBreweries MD @Markocitti  Commissioned Ujimbe Community water project in Siaya County.The project, done in partnership between LBDA & @EABLFoundation will serve 200 households,primary school, & health facilities in the region.#drivingprosperity",2023-06-08 14:09:00+00:00,44,8
"March was a phenomenal month for us, we received 2 award, new partners, Entered a new community and launched a new project. Special shout outs to @SafaricomFDN , @zuri_awards  and @EABLFoundation",2023-03-31 08:49:00+00:00,2,0
"BUSINESS-EABL Foundation Supports Water Project to Benefit Over 5,000 People in Kiambu;    https://golfnewslinks.com/2023/03/15/business-eabl-foundation-supports-water-project-to-benefit-over-5000-people-in-kiambu/",2023-03-15 09:54:00+00:00,0,0
"More than  5,000 people in the Ndiguini area of Kikuyu Constituency, Kiambu County are set to benefit from a Kes 8.4 million water project sponsored by the EABL Foundation. https://waza.co.ke/business/article/3516/kiambu-county-residents-to-enjoy-kes84m-water-project",2023-03-08 05:59:00+00:00,0,0
