text,date,No_of_likes,No_of_tweets
"Omg, it's depressing to watch this South Africa, Kenya game. It's like we cane out to play kalongo O_o tuna pubs serikal!!",2013-12-07 18:22:00+00:00,0,0
African Spirits ndo imeungua Mombasa Rd. Watu wa Kenya Cane wataumia round this,2013-12-03 13:21:00+00:00,0,0
There are several sugarcane varieties grown in Kenya. Most of them mature at 18-22 months for plant cane @FarmTalk @amerix @SMukangai,2013-12-03 12:19:00+00:00,0,0
"I didn't do merry cane though, but saf and Kenya cane okolead jahazi",2013-12-03 02:18:00+00:00,0,0
WOODEN HAND CARVED WALKING STICK WITH LION TOP from Kenya 36 INCHES LONG.   $35.00 bit.ly/18aFu4P #accessory #cane,2013-12-02 13:20:00+00:00,0,0
@Ev_Cane excuse oui c dur sport de kenya,2013-12-01 21:34:00+00:00,0,0
LFC watajua lini KC stadium in Kenya means Kenya Cane?,2013-12-01 15:55:00+00:00,0,0
hull city vs lfc at The Kenya Cane Stadium .,2013-12-01 14:01:00+00:00,0,0
Kanyakine School sure sounds like Kenya Cane,2013-11-30 14:00:00+00:00,0,0
"""@misskiringa: @BenChKumi @Tmoekin @JulieMwangi Lol ati kenya cane? You want him to black out for a week"" Haha sawa. Muratina basi?",2013-11-28 10:16:00+00:00,0,1
@BenChKumi @Tmoekin @JulieMwangi Lol ati kenya cane? You want him to black out for a week,2013-11-28 07:39:00+00:00,0,1
"""@Tmoekin: can someone pls put a bottle of viceroy in my moms bag for me @BenChKumi @misskiringa @JulieMwangi"" Bwahaha Kenya Cane! #Evil",2013-11-28 06:56:00+00:00,0,1
Hii umeiba cc @PatOski_  RT @Johny_main @PG_Kenya If you eat sugarcane while travelln mututho will get u arrested coz its 'SAFARI CANE',2013-11-28 06:31:00+00:00,0,0
Kenya: Farmers can sell cane to any miller: Sugarcane farmers are free to sell their produce to millers who pr... bit.ly/1iM5UOt,2013-11-25 21:52:00+00:00,0,0
Indian Investors to Build a Sh10 Billion Cane Plant in #Kenya allafrica.com/stories/201311… fb.me/Q0945Ssh,2013-11-22 08:23:00+00:00,0,0
SonySugar Outgrowers Cane Development Manager Job in Kenya wp.me/p3aUo6-4Nv,2013-11-22 04:30:00+00:00,0,0
WOODEN HAND CARVED WALKING STICK WITH ELEPHANT TOP from Kenya 36 INCHES LONG.   $35.00 bit.ly/1fZk1hc #canes #cane,2013-11-21 20:04:00+00:00,0,0
South Nyanza Sugar Company Limited Outgrowers Cane Development Manager  Job Vacancy in Kenya nblo.gs/Rim65,2013-11-21 14:45:00+00:00,0,0
New post: Kenya: Narok to Benefit From Sh10 Billion Cane Plant bit.ly/1bEN59n,2013-11-21 10:56:00+00:00,0,0
I have to wait a half a year to get a dog?! Who breeds or sells cane corso's in kenya?! With known lineage history?,2013-11-21 07:29:00+00:00,0,0
36 INCH KENYA AFRICAN WALKING STICK CANE SCULPTURE HAND CARVED ELEPHANT  $39.99 bit.ly/17mY5tR #hawaiian #collectible,2013-11-20 03:13:00+00:00,0,0
"Vintage Hand Carved Elephant Head Cane Walking Stick Kenya Africa 37"" Art Work $19.88 bit.ly/17j2YEh #canes #fashion",2013-11-19 05:34:00+00:00,0,0
Kenya:Miller speaks out on 'cane poaching'   bit.ly/1fauetw,2013-11-19 04:08:00+00:00,0,0
walevi mko wapi?  *napoleon  *kenya cane  *kenya king  *bluemoon  *jebel  *nectar  *pamoja  *dallas  *moonwalker... fb.me/OJ7W69NW,2013-11-18 20:48:00+00:00,0,0
respect to kenya cane #TGIM,2013-11-18 18:03:00+00:00,0,0
Atwoli backs closure of cane factories - The Standard Digital News dlvr.it/4LMw4R #Kenya,2013-11-18 11:20:00+00:00,0,0
"@TheGuccison @DiFrankosgei  kenya cane vs Agency banking. ujinga ni kush kubleki huko mbele, nxt victim frank",2013-11-18 07:02:00+00:00,0,1
MPs have put the Kenya Sugar Board on spot over a Sh1 billion cane testing project currently under pilot in two... fb.me/37PrMaLXO,2013-11-18 06:31:00+00:00,0,0
MPs have put the Kenya Sugar Board on spot over a Sh1 billion cane testing project currently under pilot in two... fb.me/1Eqhryxn2,2013-11-18 06:30:00+00:00,0,0
"SonySugar Outgrowers Cane Development Manager Vacancy in Kenya (Deadline: November 29, 2013) goo.gl/fb/g4HpC",2013-11-18 05:03:00+00:00,0,0
Kenya: Atwoli backs closure of cane factories: The Central Organisation of Trade Unions (Cotu) boss Francis At... bit.ly/1bRPeQS,2013-11-17 20:54:00+00:00,0,0
Kenya Cane,2013-11-17 16:43:00+00:00,0,0
@mrsngare Ha ha. Even Kenya Cane! You should have hidden that one. Will there be one this year?,2013-11-16 09:01:00+00:00,0,1
SonySugar Outgrowers Cane Development Manager Job in Kenya november 16th… goo.gl/fb/BmltU jobseekerkenya.com,2013-11-16 07:56:00+00:00,0,0
"@Tonygicira haha, this is why Kenya Cane was invented",2013-11-16 00:52:00+00:00,0,1
South Nyanza Sugar Company Limited Job Vacancy in Kenya : Outgrowers Cane Development Manager goo.gl/fb/2rzuS,2013-11-15 09:06:00+00:00,0,0
SonySugar Outgrowers Cane Development Manager Job in Kenya nblo.gs/R94PO,2013-11-15 01:01:00+00:00,0,0
SonySugar Outgrowers Cane Development Manager Job in Kenya nblo.gs/R94PO,2013-11-15 01:01:00+00:00,0,0
New post: Kenya: Sugar Cane Growers Want Zoning Stopped bit.ly/19ob0IH,2013-11-14 22:13:00+00:00,0,0
walevi mko wapi?  *napoleon *kenya cane *kenya king *bluemoon *jebel *nectar *pamoja *dallas *moonwalker... fb.me/6zayVPDjg,2013-11-14 11:05:00+00:00,0,0
Watoto wengine wa prymo kazi ilikuwa kunywa KC (Kenya Cane) na lesson yao best ilikuwa PE. Iyo ndio KCPE tu wanajua,2013-11-12 21:12:00+00:00,0,1
"guy has a cane in his right hand, the zebra had had enough.. RT @doumase: Hawa zebra wa kenya @Flo_rer, @ShirleyTome",2013-11-12 20:07:00+00:00,0,1
Kulingana na ile bill ya Joe haikosi alifanyaga Kenya Cane Primary Examination.,2013-11-12 06:44:00+00:00,0,0
Why in 21st century would senior police officers and provincial adminstrators still walk around carrying 'swagger Cane' in Kenya?,2013-11-11 17:08:00+00:00,0,0
"Sugaronline News: KENYA: Mumias losing US$28,000 a day to cane poaching shar.es/8gz9i vía @sharethis",2013-11-11 14:28:00+00:00,0,0
Local sugar industry sees bitter times ahead: KENYA: Kenyan sugar cane farmers and millers face a tough period... bit.ly/1brwlDU,2013-11-11 00:37:00+00:00,0,0
From newsKenya.Co.kE: Miller wants State2 stem cane #poaching #Kenya bit.ly/1cd9wE0,2013-11-10 22:19:00+00:00,0,0
Miller wants State2 stem cane #poaching #Kenya bit.ly/1cd9wE0,2013-11-10 22:19:00+00:00,0,0
Kenya: Miller wants State to stem cane poaching ift.tt/1eB9JpB,2013-11-10 20:58:00+00:00,0,0
A cane business in Kenya called kanes #ThingsKanyeDoesntHave @midnight,2013-11-08 09:22:00+00:00,0,0
