text,date,No_of_likes,No_of_tweets
EABL snapped back today and ended the day 4% up.   Relief.,2024-01-30 16:22:00+00:00,17,0
EABL won't collapse under my watch .,2024-01-30 07:59:00+00:00,1995,13
"EABL CFO on the impact of the requirement to remit excise duty within 24 hours:   ""We've been quite open with the policymakers in saying this is extremely problematic administratively...It's not increasing the amount of collection  so it's a zero-sum game & it needs to stop""",2024-01-29 16:14:00+00:00,144,6
I watched Julians Amboko interview EABL chief of finance and man! The government wants to be paid excise duty 24 hours after stocks leave the warehouse. This government wants to kill Kenyan companies completely mazee.,2024-01-28 10:05:00+00:00,1175,32
Why EABL crashed 15% on Friday.  Reasons :  KRA requires EABL to submit excise duty every 24 hours .  EABL is forced to borrow from local banks to sort out KRA   This is eating operating cash and revenues .   Dividends will be slashed for now to the future .,2024-01-28 07:00:00+00:00,533,54
EABL's unaudited financials tell the brutal story of the absolutely HOSTILE business environment Kaunda King and His Merry Men have produced after 14 months of seemingly perpetual amateur hour,2024-01-26 16:51:00+00:00,52,4
There is one tournament that was sponsered by EABL  pilsner pool challenge and it was great coz it transversed the entire country.,2024-01-22 09:52:00+00:00,0,0
"""One thing I don't joke about is standing for God.""  ""I turned down a deal worth millions of shillings from EABL after winning the Pilsner Mfalme DJ gig after I was told to forego playing Gospel music and play secular."" - @DJKrowbar #DrOfwenekeTonight @DrOfweneke @MileyThedj",2023-11-01 17:10:00+00:00,2,0
Grab your canned alcohol  @Pilsner beer imara kama simba  @EABL_PLC,2023-10-10 05:42:00+00:00,1,0
It's a sato... lazima #pilsner ya @EABL_PLC  ijipe,2023-09-30 11:37:00+00:00,1,0
Eabl warudishe Tusker Project Fame..waambie sitaimba na pia Pilsner Mflame pool tournament irudi hiyo lakini my Gs will participate.,2023-09-26 01:22:00+00:00,1,0
"Haha, mi na crew ya Juja tulikunywa Pilsner Ice 🧊 zote hadi sample ikabidi wameipiga disco pale Eabl 😆 😄 🤣 😂 😜",2023-09-22 20:40:00+00:00,1,0
"Pilsner 7 ulikua kitu biad, good days.",2023-08-20 14:50:00+00:00,0,0
"It seems you had consumed lots of pilsner this day, supporting your product as a brand manager",2023-08-19 21:00:00+00:00,0,0
Before pilsner there was Castle lager pool and dirt challenge,2023-08-19 12:09:00+00:00,0,0
Simba Wa Kenya Pilsner Pool Challenge..those were the days,2023-08-19 01:36:00+00:00,0,0
Pilsner was sucking life from you.,2023-08-18 21:32:00+00:00,0,0
Ulikua Usha sample hio pilsner kabla ya shoot.😂😂,2023-08-18 21:04:00+00:00,0,0
"Na zile Ads za ""Pilsner imara kama simba""  Now imara kama simba inatoa sauti ya kanyuinyui.",2023-08-18 19:00:00+00:00,0,0
Pilsner League of Kings Pool challenge was 🔥,2023-08-18 19:00:00+00:00,0,0
"Pilsner, baada ya kazi!",2023-08-18 18:29:00+00:00,0,0
Hapa ulikua unakaa tu hiyo pilsner,2023-08-18 18:06:00+00:00,24,1
kibuika with pilsner,2023-08-18 18:04:00+00:00,0,0
..mkuu😂😂..Wewe ndio ulimaliza pilsner,2023-08-18 18:02:00+00:00,8,0
"Mind your business! Meanwhile, this was when @EABL_PLC had real marketing/brand managers. They listened to the ground and gave the people what they wanted, none of this WOKE shit they are propagating. Pilsner Pool Challenge was a good idea",2023-08-18 18:00:00+00:00,3829,212
Why is it you have tuskers n Pilsner sold in Uganda n tanzania yet you don’t allow Serengeti n bell to be sold in kenya.. what kind of EABL is that,2023-07-29 06:10:00+00:00,0,0
Pilsner Red Top @ Lake Nyabihoko. @EABL_PLC #ExploreUganda,2023-07-26 14:32:00+00:00,2,0
"Oi @EABL_PLC  long time fan, first time writer. 🥺👉🏾👈🏾 I'd love that #Pilsner endorsement deal. Got some cool cats who vouch for me @frasha & @MwalimChurchill",2023-07-03 11:01:00+00:00,2,0
"Drinking habits have changed greatly.Few years ago when I drank liberally, my good old Tusker was all the rage. Nobody drinks it anymore. Even Guinness is not common anymore. Don't even mention Pilsner, last time I saw it was like 10 years ago, literally!@eabl",2023-05-22 16:15:00+00:00,1,0
"Problem with u is you're fighting even legit eabl beers like ..tusker, pilsner,etc.",2023-05-04 19:17:00+00:00,0,0
Petition for @EABL_PLC to bring back Pilsner ICE 👌🏾  [image courtesy],2023-05-02 14:37:00+00:00,0,0
How EABL went back to the table to make Pilsner Mfalme a competition for DJs who won’t play in the club?   👀   Shida ya wakenya na watu in general ya hatupendi na kuogopa kubadilika.,2023-04-06 18:07:00+00:00,8,0
nywa ku pilsner lager sponsored by @EABL_PLC 😀😁,2023-02-21 22:26:00+00:00,0,0
"Hadi Eabl, pilsner etc ni za Kenya tu. Hadi chrome na London distiller brands.  Am not supporting Eabl thou. Katambe!",2023-01-11 21:15:00+00:00,0,0
@EABL_PLC   At a Club somewhere in Nairobi and I have noted that nowadays @WhiteCapLager is more popular than @TuskerLager   Amaizingly the last time I saw a Pilsner on a table was many years ago.  Balozi is also moving!  Changing times.  @coldtusker @KenyaBreweries,2022-12-31 15:23:00+00:00,3,0
".@EABL_PLC wakurugenzi, you introduced us to the Pilsner Ice, the Pilsner 7 and both disappeared. You left us a shitty lager. Shall we have the Pilsner Ice as it was back, kindly?",2022-11-24 19:27:00+00:00,3,1
Unataka sisi tunafanya kazi eabl tukule Nini 😂  Pewa pilsner beer ka mom,2022-08-24 19:41:00+00:00,0,0
"Hahaha. Manze nimekufa na pilsner brand since 2002, it's been 20 years of loyalty. Wanafaa kunipea brand ambassador bana lol @EABL_PLC mnaskia hii maneno?",2022-08-01 10:07:00+00:00,1,1
This was a strategic location for EABL to advertise their Pilsner Lager offers. #Billboards #OOH,2022-07-18 08:20:00+00:00,0,0
@EABL_PLC bring back Pilsner 7!,2022-06-12 16:52:00+00:00,0,0
"Bro, kama ulikunywa pilsner, ulikunywa expired bro. 😂😂😂. Who even drinks pilsner in 2022?",2022-05-15 21:39:00+00:00,2,1
@EABL_PLC any chance of Returning the Pilsner Ice Beer brand,2022-05-07 10:05:00+00:00,0,0
Fingerprints @Lane8music and pilsner @EABL_PLC for breakfast. LONG WEEKEND BEGINS TODAY!!🍻⛱️ 🇰🇪,2022-04-28 03:37:00+00:00,0,1
