text,date,No_of_likes,No_of_tweets
"Po sukcesie frekwencyjnym świąt Chanuka, proponuję urządzić w przyszłym roku w Sejmie, w ramach otwarcia na nowe kultury, obchody „Tusker Oktoberfest”. Myślę, że Umiłowany Przywódca będzie ukontentowany",2023-12-17 23:40:00+00:00,2,0
My new favourite beer is this Tusker Ndimu. It was introduced to the customers pale Oktoberfest. Then had it pale Solfest. I doubt they have launched it. This one will be a hit. I bet imekuja kucounter KOs. Lovely drink,2023-11-11 17:30:00+00:00,40,8
1.2022 tusker Oktoberfest 2.2023 Johnie walker live 3.2014 Smirnoff end year party at crayfish Naivasha,2023-11-05 15:29:00+00:00,1,0
Tusker OKTOBERFEST highlights. Full story on BNN BASIC - https://t.me/bnnkenya/35150,2023-11-01 22:34:00+00:00,13,1
TUSKER OKTOBERFEST 2023,2023-10-31 15:37:00+00:00,13,1
Tusker Oktoba Fest!  @CosterOjwang is great! It is time y'all realize that.   #Oktoberfest,2023-10-31 11:18:00+00:00,24,0
Rapper Nyashinski's Full Performance at Tusker Oktoba Fest   #Oktoberfest #OktobafestEastAfrica #BallonDor  Diamond  Sauti Sol   https://piped.kavin.rocks/watch?v=4CB9-Movv0U,2023-10-30 18:37:00+00:00,0,0
"Sippin', Groovin', and Oktoberfest Provin' at Tusker Oktobafest! From the brews to the beats, this festival was an absolute blast!   #SafaricomHook #DoMoreWithMPESA #TuskerOktobafest",2023-10-30 10:53:00+00:00,49,3
Day three capture Recapture moments at Tusker Oktoba Fest.   #OktoberfestKampala #Oktoberfest @TuskerLager  Ngong Racecourse  Diamond,2023-10-29 21:31:00+00:00,1,0
Part two!  Kenya's Mejja delivered a back to Back set at Tusker Oktoba Fest pale Ngong Racecourse.   Here is A full video of his performance.  Kimbia YouTube   #OktobafestEastAfrica #OktoberfestKampala  Oktoberfest  Diamond Platnumz   https://piped.kavin.rocks/jRssUc6ZQek?si=oPdqCEitlZYIgH8Q,2023-10-29 14:43:00+00:00,0,1
Khaligraph anapiga 7 figure yake safi leo. Performing at Stanchart Nairobi Marathon then Tusker Oktoberfest.,2023-10-29 06:00:00+00:00,0,0
Man Like Chibu Dangote on stage at the Tusker Oktoba Fest pale Ngong Racecourse.   Diamond Platnumz  #OktobafestEastAfrica #TuskerOktobafest #Oktoberfest @TuskerLager,2023-10-29 00:50:00+00:00,11,1
The Bongo sensation is among celebrated artists performing at the Tusker Oktoberfest in Nairobi. https://thekenyatimes.com/latest-entertainment-news-kenya/diamond-platnumz-lands-in-style-makes-a-promise-to-nairobians/,2023-10-28 13:25:00+00:00,3,0
Ukibuy two 6 packs za Tusker unajengwa tiko ya Oktoberfest,2023-10-27 09:08:00+00:00,2,3
"Safaricom, Tusker sign Sh30 million tech, payments deal for upcoming OktobaFest https://swalanyeti.co.ke/buzz/article/7534/safaricom-tusker-sign-sh30-million-tech-payments-deal-for-upcoming-oktobafest via @SwalaNyetiKe #Oktoberfest",2023-10-27 06:53:00+00:00,0,0
Masaa ni ya #Oktoberfest na #Tusker  ngamua kiu na ushikilie 🍻 yako moja safi pale  #TuskerOktobafest,2023-10-26 06:24:00+00:00,1,0
"Tusker Oktoberfest is bigger and better than before, visit tusker.beer/oktobafest/ and grab your ticket as we celebrate African culture  @Venty530 @BaloziMbeya @JudithD_NYCGirl #ThisIsHowWeDo #TuskerOktobafest #OktobafestEastAfrica @TuskerLager",2023-10-26 04:00:00+00:00,2,0
"Tusker Oktoberfest is bigger and better than before, visit tusker.beer/oktobafest/ and grab your ticket as we celebrate African culture  #ThisIsHowWeDo #TuskerOktobafest #OktobafestEastAfrica @TuskerLager",2023-10-26 03:55:00+00:00,0,0
"Safaricom, Tusker sign Sh30 million tech, payments deal for upcoming OktobaFest https://swalanyeti.co.ke/buzz/article/7534/safaricom-tusker-sign-sh30-million-tech-payments-deal-for-upcoming-oktobafest #Oktoberfest #TuskerOktobafest",2023-10-25 20:52:00+00:00,0,0
Dini yangu inakataa going to an Oktoberfest and drinking a Tusker 🤢🤢,2023-10-25 08:04:00+00:00,0,1
"You should definitely purchase it. wajua bado 3 days to #OktobafestEastAfrica #Oktoberfest  pale ngong racecourse, Might come in handy kuweka ma Tusker",2023-10-23 20:15:00+00:00,0,0
And just like that Tusker Oktoberfest has become an exclusive event  How did we get here!! Tickets last year were kshs 1500 regular day pass  2019 kshs 1500  Leo naona kshs 6000 as a flash sale for regular day pass  And this is how I'll miss #TuskerOktobafest For the first time,2023-10-23 07:49:00+00:00,1,1
What if Tusker replaced Diamond with Mr Nice for Oktoberfest? Ticko zinaweza kuwa 1000 kama last year?,2023-10-22 18:47:00+00:00,142,7
"Don't miss out, be an early bird and secure your advance ticket to Tusker Oktoberfest at a discounted price.  Make sure you've taken advantage of these advance tickets to avoid ending up at the gate and depleting your savings.  #thisishowwedoit #octoberfest #OctoberfestEastAfrica",2023-10-19 14:04:00+00:00,1,0
"Why is EABL-Tusker commercializing Oktoberfest? I thought the original idea was to give the consumer a proper experience and create Brand Affinity, Talkability, Visibility and drive sales during the festival??????",2023-10-18 09:31:00+00:00,3,1
For the first time in my life I wanted to attend Tusker's Oktoberfest but no way I will pay 3k for a ticket.   Will watch it on people's posts,2023-10-18 07:25:00+00:00,3,3
Saturday shenanigans 🔥🏝️ with summer vibes by @jaythedeejay_ hosted by @sir_ric_. Bringing back the October Fest Experience at the beach.  Special offers on Tusker & Heineken Draught Beer 🍺. Tell a friend! ⛱️🏃🏾  #KingstonExperience #Saturday #Oktoberfest #Mombasa #Kenya,2023-10-17 18:58:00+00:00,2,0
Secure your VIP tickets for the Tusker Oktoberfest today!  It's a fantastic experience you absolutely can't afford to miss.  Grab your VIP pass now and get ready for an unforgettable time! @TuskerKenya #oktoberfest #oktoberfest2023,2023-10-16 10:20:00+00:00,0,0
"Get ready to be blown away at the upcoming Tusker Oktoberfest, where some of the greatest artists are set to rock the stage like never before! Don't miss out on this unforgettable experience. #TuskerOktobafest #oktoberfest2023",2023-10-16 09:00:00+00:00,1,0
"Get ready for an epic celebration! This year, Tusker Oktoberfest is going BIG, uniting East Africa with Kenya, Uganda, Tanzania and South Sudan, featuring some of the biggest artistes in the region. It's a festival like no other! #Oktoberfest #tusker",2023-10-16 08:07:00+00:00,0,0
The Tusker Oktoberfest Mood Activated. 🍺 Come through and Enjoy!🍻 @jackie_gift @mc_breezyofficial   #KingstonExperience #TuskerOktoberFest #OktoberFest #BeerLover #MasculinitySaturday,2023-10-14 18:41:00+00:00,1,0
The Tusker Oktoberfest Mood Activated. 🍺 Come through and Enjoy!🍻 @jackie_gift @mc_breezyofficial   #KingstonExperience #TuskerOktoberFest #OktoberFest #BeerLover,2023-10-14 18:39:00+00:00,1,0
The Tusker Oktoberfest Mood Activated. 🍺 Come through and Enjoy!🍻  #KingstonExperience #TuskerOktoberFest #OktoberFest #BeerLover,2023-10-14 17:41:00+00:00,1,0
"Hapa Mavueni rehearsals za usiku zimeanza😂😂  Tunapatana The YATCH lounge mtwapa  leo usiku,kupiga sherehe ya #Oktoberfest kwa hisani ya bia yetu pendwa ya Tusker Kenya .  Kiingilio ni Kshs 1500 kwa Regular alafu kshs 3000 kwa VIP ambayo ni redeemable.  #oktoberfestNaMejja",2023-10-14 12:48:00+00:00,1,0
The Tusker Oktoberfest Offers on Draught Beer 🍺🔥 this Saturday 🙌🏾 . Are you Ready for the Experience?   Tell a Friend!  #KingstonExperience #TuskerOktoberFest #Saturday #Mombasa,2023-10-13 12:43:00+00:00,1,0
Friday after work plan 🚀 at the beach with blends by @sir_ric_ backed by @ibowondeck. Special Offers on Tusker Draught Beer 🍺. Pass by! ⛱️🏃🏾  For reservations call 0714 555 666.  #KingstonExperience #Friday #AfterWork #Chilling Tusker Oktoberfest Mombasa,2023-10-13 09:27:00+00:00,2,0
"East Africa, are you ready? Tusker Oktober Fest is here with us! Dust off your shoes and put on your finest attire because you won't want to miss this unforgettable event. Join us for a fantastic time, grooving to the beats of your favorite artistes. #oktoberfest",2023-10-13 08:29:00+00:00,2,0
The Tusker Oktoberfest 🍺🔥 is Here with Us this Saturday featuring 🙌🏾 Hype Master @mc_breezyofficial. Are you Ready for the Experience?   Stay Tuned for more updates!  #KingstonExperience #TuskerOktoberFest #Saturday #Mombasa,2023-10-12 11:29:00+00:00,2,0
The Biggest Event before Solfest in definitely TUSKER OKTOBERFEST. Chibu Baba Lao Dangote Baba Lao  Diamond Platinumz,2023-10-11 15:50:00+00:00,3,0
The Tusker Oktoberfest 🍺🔥  is Here with Us this Saturday featuring 🙌🏾  @jackie_gift. Are you Ready for the Experience?   Stay Tuned for more updates!  #KingstonExperience #TuskerOktoberFest #Saturday #Mombasa,2023-10-10 18:05:00+00:00,3,0
Uncle Ken at the Oktoberfest Kampala festival after taking one Tusker Cider .,2023-10-10 07:03:00+00:00,17,3
Tusker has the resources to make Oktoberfest one of the biggest festivals in Africa,2023-10-06 01:55:00+00:00,3,0
Tusker Oktoberfest wamerelease zao na this time hawachezi. Wako biz mbaya.,2023-10-04 17:28:00+00:00,0,0
Hii mwaka nimebakisha kuenda event moja pekee Tusker Oktoberfest.,2023-10-04 16:19:00+00:00,2,0
"specified timings - the last performer, Shinski, performed 2 hours late. This inconvenience affected us attendees. Thank you, EABL, and I hope Tusker Oktoberfest will be just as good as this.",2023-10-02 06:59:00+00:00,0,0
Wacha zipigwe usafi ready for Tusker Oktoberfest 😅,2023-10-01 08:58:00+00:00,0,1
