text,date,No_of_likes,No_of_tweets
Tries the Tusker Ndimu yesterday and I loved it!  Hi @EABL_PLC 😉,2024-01-29 13:31:00+00:00,20,7
"East African Breweries (EABL), the Kenyan unit of Diageo Plc, has dismissed a media report that its parent company wants to sell the Tusker beer brand as part of broader cuts. Eabl #drinks #EABL #Kenya #beer https://www.esmmagazine.com/drinks/diageos-kenyan-unit-calls-tusker-beer-sale-report-market-speculation-258337",2024-01-26 14:04:00+00:00,1,0
Ya nini? Ya nani? Mbona?  My pride is winning games and beating opponents.  What else would I need?,2024-01-25 13:56:00+00:00,0,0
Uko na hasira,2024-01-25 12:36:00+00:00,0,1
🤣 🤣 🤣 🤣 Show us the title deed it it's reading Tusker FC.  Bwana watu sio wajinga buanaaaaa.  Very soon @EABL_PLC will build a chang'aa plant there.  They don't care about football,2024-01-25 12:35:00+00:00,0,1
So @EABL_PLC through KBL can comment on @tusker_fc issues but it's the PATHETIC #RuarakaFARM that they don't want to talk about?  @tuskerlite @TuskerMaltLager  #FootballKE,2024-01-24 06:09:00+00:00,11,1
Kama hamna shamba wacha kuongelea shamba ya wengine,2024-01-24 18:03:00+00:00,0,1
Shamba ya Gor unatakia nini,2024-01-24 16:56:00+00:00,0,1
Gor wako na shamba?,2024-01-24 08:07:00+00:00,0,1
Wapi Tusker fans? Or to EABL it does not matter? What are they even doing in KPL all these years?,2024-01-23 13:36:00+00:00,0,0
@EABL_PLC  you gave Kogallo Tusker larger🦘🦘🦘,2024-01-20 14:44:00+00:00,0,0
Ey! Pole kwa kuugua. Na ua napitia happy EABL kila siku sijawahi one hizi chupa around? Naonanga za tusker na mitungi za keg Tu?!,2024-01-16 14:06:00+00:00,0,1
"Lesson; don't try anything new in the market. Stay true to brands that have existed for decades. If you want a drink, chapa Pili, Tusker, White Cup. Ama kama ni mzinga, pertake anything that comes from EABL where quality is assured. Hizi zingine zitakupeleka kwa grave mapema",2024-01-16 10:59:00+00:00,2,2
"Hello. You can visit our office in Ruaraka, EABL behind Garden city mall or if in town visit Urban apparels shop besides Nairobi Sports house. Contact Charles (Ruaraka)  on 0720 245551 and Haron(Nairobi CBD) 0721 419099. Costs 1500",2024-01-15 19:25:00+00:00,2,1
"Ladies and gentlemen, Estadio de Ruaraka, Nairobi, the home of EABL-OWNED TUSKER FC who are 13 times Champions of the Kenya Premier League.",2024-01-15 12:39:00+00:00,0,0
Ulizia watu wanafanya eabl na environs pia players wa tusker fc.,2024-01-12 12:43:00+00:00,0,1
"EABL have done the thing...expect changes to prices of White Cap, Guinness and Tusker Cider",2024-01-10 09:30:00+00:00,0,0
Talk to EABL mchukuwe Tusker FC. Change the name to Tusker Meru FC and have them play at Kinoru Stadium.,2024-01-10 08:31:00+00:00,0,0
Fans na Futaa ndio hao wamekaa Juu ya container they can't even order one beer and cheers when a goal is  scored because EABL is in a Toxic relationship with Tusker Fc  #FootballKE,2024-01-06 17:47:00+00:00,40,2
"You’re right on 7. There’s a funky taste with most hard liquors. It’s the reason I’ve stuck to EABL beers & even those, after Diageo bought a stake, it hasn’t been the same.  Tusker ya ‘96 when I first tried, isn’t the same as now.",2024-01-01 16:18:00+00:00,2,1
I feel like with Tusker Ndimu Eabl now have a legit competitor for Kenya Original beers,2023-12-30 19:03:00+00:00,1,0
"There is this guy on tiktok doing amazing videos with tusker from  @EABL_PLC ,",2023-12-27 12:59:00+00:00,1,0
