,Date,Open,High,Low,Close,Average,Volume,Month,Year,Day,12-Month Inflation,Mean,Amount,Dividends per share,Earnings Per Share,Unemployment,Interest rates,Tommorow,Target,Tommorow1,Target1,Tommorow2,Target2,Tommorow3,Target3
0.0,2024-01-31,104.0,111.0,104.0,110.0,106.0,42000,1.0,2024.0,31.0,6.9,161.0,1.0,5.5,12.5,3.7,12.5,104.0,0,105.0,0,105.0,1,101.0,0
1.0,2024-01-30,105.0,105.0,101.0,104.0,104.0,15600,1.0,2024.0,30.0,6.9,161.0,1.0,5.5,12.5,3.7,12.5,103.5,0,105.0,0,105.0,0,99.0,0
2.0,2024-01-29,105.0,105.0,99.0,103.5,100.0,596100,1.0,2024.0,29.0,6.9,162.0,1.0,5.5,12.5,3.7,12.5,100.0,0,116.25,1,116.25,1,100.0,1
3.0,2024-01-26,116.25,116.25,100.0,100.0,104.5,60500,1.0,2024.0,26.0,6.9,162.0,1.0,5.5,12.5,3.7,12.5,118.0,1,120.0,1,119.75,1,118.0,1
4.0,2024-01-25,119.75,120.0,118.0,118.0,118.25,5700,1.0,2024.0,25.0,6.9,163.0,1.75,5.5,12.5,3.7,12.5,120.0,1,120.0,0,115.0,0,115.0,0
5.0,2024-01-24,115.0,120.0,115.0,120.0,116.5,9700,1.0,2024.0,24.0,6.9,162.75,1.75,5.5,12.5,3.7,12.5,117.0,0,117.0,0,117.0,1,117.0,1
6.0,2024-01-23,117.0,117.0,117.0,117.0,117.0,1200,1.0,2024.0,23.0,6.9,162.5,1.75,5.5,12.5,3.7,12.5,117.0,0,123.0,1,118.0,1,115.25,0
7.0,2024-01-22,118.0,123.0,115.25,117.0,117.0,900,1.0,2024.0,22.0,6.9,162.0,1.75,5.5,12.5,3.7,12.5,118.0,1,118.0,0,118.0,0,118.0,1
8.0,2024-01-19,118.0,118.0,118.0,118.0,118.0,3200,1.0,2024.0,19.0,6.9,161.5,1.75,5.5,12.5,3.7,12.5,120.0,1,124.75,1,118.0,0,118.0,0
9.0,2024-01-18,118.0,124.75,118.0,120.0,120.0,263800,1.0,2024.0,18.0,6.9,161.25,1.75,5.5,12.5,3.7,12.5,120.0,0,120.0,0,120.0,1,119.0,1
10.0,2024-01-17,120.0,120.0,119.0,120.0,119.75,2700,1.0,2024.0,17.0,6.9,160.5,1.75,5.5,12.5,3.7,12.5,120.0,0,125.0,1,120.0,0,119.0,0
11.0,2024-01-16,120.0,125.0,119.0,120.0,121.75,17800,1.0,2024.0,16.0,6.9,159.7,1.75,5.5,12.5,3.7,12.5,119.5,0,120.0,0,120.0,0,119.0,0
12.0,2024-01-15,120.0,120.0,119.0,119.5,120.0,13000,1.0,2024.0,15.0,6.9,159.5,1.75,5.5,12.5,3.7,12.5,120.0,1,120.0,0,120.0,0,119.5,1
13.0,2024-01-12,120.0,120.0,119.5,120.0,120.0,8300,1.0,2024.0,12.0,6.9,159.0,1.75,5.5,12.5,3.7,12.5,120.0,0,121.0,1,121.0,1,120.0,1
14.0,2024-01-11,121.0,121.0,120.0,120.0,120.75,4600,1.0,2024.0,11.0,6.9,158.5,1.75,5.5,12.5,3.7,12.5,121.0,1,123.5,1,121.0,0,121.0,1
15.0,2024-01-10,121.0,123.5,121.0,121.0,121.0,78600,1.0,2024.0,10.0,6.9,157.7,1.75,5.5,12.5,3.7,12.5,121.0,0,123.5,0,123.0,1,121.0,0
16.0,2024-01-09,123.0,123.5,121.0,121.0,122.0,6900,1.0,2024.0,9.0,6.9,157.75,1.75,5.5,12.5,3.7,12.5,122.0,1,125.0,1,124.0,1,122.0,1
17.0,2024-01-08,124.0,125.0,122.0,122.0,123.75,2100,1.0,2024.0,8.0,6.9,157.5,1.75,5.5,12.5,3.7,12.5,125.0,1,125.0,0,125.0,1,121.0,0
