text,date,No_of_likes,No_of_tweets
Nze simweesiga Laba the ears look like tusker lite,2020-12-07 11:31:00+00:00,1,1
Tusker lite,2020-12-07 08:57:00+00:00,2,0
Feast your eyes on this delicious-looking #Litetheway campaign from Tusker Lite UG looking incredible across Reign Ads's Golf Course site;   #TakingYourBrandPlaces! #OOH #DOOH,2020-12-07 06:56:00+00:00,1,0
Tusker Lite😂😂,2020-12-06 19:45:00+00:00,1,1
Unakumbuka enzi za Tusker Lite au Ndovu na Sprite eeeh? 😂😂,2020-12-06 18:44:00+00:00,1,1
"nimewacha *tusker lite , gin , red wine ...",2020-12-06 16:55:00+00:00,0,0
@tuskerlite 💉,2020-12-06 14:40:00+00:00,0,0
"FOOTBALL LOVERS, WE GOT YOU COVERED!!!  COME AND WATCH ALL GAME LIVE!!!  A BUCKET (5) OF TUSKER MALT, TUSKER LITE & SIKERA AT 1000/=  #TwendeRabbitHole @ The Rabbit Hole https://www.instagram.com/p/CIdBoK1gP5f/?igshid=pvbxnttk327e",2020-12-06 10:48:00+00:00,0,0
Itabidi tu @TuskerLager,2020-12-05 13:09:00+00:00,2,0
Hapo umebonga Kama Uhunye,2020-12-05 12:08:00+00:00,0,0
Hamfiki thika Malegend wangu 😔 lakini ata kukienda aje lazima Tusker kadhaa leo🇰🇪,2020-12-05 11:30:00+00:00,1,1
😅😅😅...... hapo sawa 👊,2020-12-05 11:25:00+00:00,1,1
My best friend brought Kanyus gifts mimi ata sijawahi ona kwa dunia. SMH man. Ataninulia Tusker Lite mbili aniambie nikapime pressure.,2020-12-05 11:14:00+00:00,1,0
Have a good weekend to my favorite people  @TuskerLager @TuskerMaltLager @TuskerCider @tuskerlite Mjue tutapatana vizuri next weekend tu celebrate Jamu,2020-12-05 06:44:00+00:00,1,1
Kwanza hio tusker original...hio tuseme tunimetoka Uganda! Even bitter herbs aren't that bitter,2020-12-05 05:18:00+00:00,0,0
"Sasa ona kila MTU amejua you don't know how beer tastes,your shame is now our shame Kings😭😭 Why???? Why????",2020-12-05 05:09:00+00:00,0,1
Kitu inaonja mchanganyiko ya kitunguu saumu na managu!..,2020-12-05 05:08:00+00:00,0,1
Tusker Lite,2020-12-04 21:06:00+00:00,1,0
Parte after Parte... U should talk with the Government waongeze masaa... 9pm its too early hatutosheki na maTusker.. @TuskerLager,2020-12-04 18:32:00+00:00,2,1
Hizi ndo gani tena?! .....🤔🤔🤔 goal goal (G-G)?! self pollination?! .....form ni gani ebu tuambie 🧐 hehe.....😅😅😅,2020-12-04 16:31:00+00:00,0,1
Sa juu nyinyi no brand moja muitane mabro😂😂,2020-12-04 16:29:00+00:00,1,1
But wont the tusker lite make you drunk for the campaigns??Meanwhile...Katumba oyee😊,2020-12-04 12:07:00+00:00,0,1
Tusker lite or club,2020-12-03 16:43:00+00:00,1,1
Changamkia bei poa ya vyinyuaji  upendavyo kutoka EABL. Pata   Tusker Lager – 160/- Tusker Malt – 160/- Tusker Lite – 160/- Tusker Cider 500ml – 170/- Tusker Cider 330ml – 130/- Tusker Premium Ale – 210/- At select outlets.  #Tujinice Responsibly.,2020-12-03 13:49:00+00:00,11,1
Thank you.,2020-12-03 08:03:00+00:00,0,0
Mnishie ata 6 pack,2020-12-02 17:41:00+00:00,0,0
