text,date,No_of_likes,No_of_tweets
"But you guys, I saw someone mixing Minute maid with waragi 😂😂😂🙌",2024-02-04 04:50:00+00:00,1198,121
Uganda waragi with goats meat spiced with much chili >>>>>>>>>>,2024-02-05 19:41:00+00:00,10,1
Why do you need to criticise his height?,2024-02-05 19:24:00+00:00,0,0
Don’t try out simba waragi,2024-02-05 17:25:00+00:00,0,1
Nitwenda waragi😂,2024-02-05 17:15:00+00:00,1,1
lol like you give a fuck about Iraqis.,2024-02-05 17:00:00+00:00,0,0
He wants to be the waragi ambassador in Kenya,2022-10-03 18:58:00+00:00,28,0
That nah minute waragi nah,2024-02-05 15:44:00+00:00,0,0
This man has given me a 10liter Jerrycan of crude Waragi that it will help me reduce on the size🙂🙂,2024-02-05 12:06:00+00:00,64,8
"Uganda Waragi is in town. Three flavours: Original, Coconut and Pineapple Place your order on 0110923024 Price: 2250/= #ugwaragi #ugwaragipineapple #ugwaragicoconut",2024-02-05 07:15:00+00:00,1,0
"i dont drink alcohol, sometimes i take coffee spirit, last time they gave me UG waragi, i took it, i can never drink again, tomorrow we meet at LaLivre for beer",2024-02-05 14:05:00+00:00,0,0
Kanzijule you take me for beer and waragi 😹😹😹😹😹😹😹😹😹😹😹,2024-02-05 10:49:00+00:00,1,0
But why would one  make a born again Christian an ambassador for Uganda Waragi?,2024-02-05 10:03:00+00:00,1,0
"Give me the 100k, I go buy myself a healthy Rolex of 3k and a big soda of 5k plus my ka waragi of 2k and you have your 90k for the next 10 days 😂😂😂",2024-02-05 09:01:00+00:00,3,0
The truth is Uganda waragi is very dangerous indeed 😭✋,2024-02-05 06:57:00+00:00,11,1
"Please let me inform you about this , ugandans doesn't want to Kno the invisible roles or actions but  want they want lobbying for them and much less penny for salt or waragi,be on ground.ts not UK but ts African country",2024-02-05 07:02:00+00:00,0,0
"“Reading this story is like sitting on a plush sofa, a glass of wine (or waragi or a cup of tea) in hand, catching up with your dramatic Ugandan best friend.” Neema Komba, writer (Tanzania)   This Valentines season, enjoy a 20% discount on “Whispers from Vera”",2024-02-05 06:41:00+00:00,3,1
Nolaba waragi,2024-02-05 06:24:00+00:00,0,1
Wasinda waragi ninga amatonto,2024-02-05 05:52:00+00:00,0,0
bukuba busingako ne waragi,2024-02-05 04:57:00+00:00,2,1
"Abantu bashiritse ubwoba kweri, Niyo nitwaje amazi mba mfite ubwoba nibaza nti kubu Yesu yongeye gukora igitangaza agahinduka nka waragi none uromogi warangiza ugafata 🚖🤔😳",2024-02-05 04:55:00+00:00,0,0
Laba Waragi,2024-02-05 04:26:00+00:00,0,0
"my dea i saw that very thing too minute maid being mixed in waragi, the most worst thing is that it was my first time stepping in bar..... i was shocked up to now...😂😂😂 i was embarrassed the first time eee",2024-02-04 21:57:00+00:00,0,0
Laba waragi,2024-02-04 19:43:00+00:00,0,0
Jawo waragi,2024-02-04 19:43:00+00:00,7,0
Waragi just🤣🤣,2024-02-04 19:34:00+00:00,1,1
UPDF & RDF  While advanced brain investing:  Uganda waragi & Kinazi cassava F...,2024-02-04 19:12:00+00:00,0,0
"Ne fille, nali manyi wavva Ku waragi katamba???",2024-02-04 18:51:00+00:00,0,0
That's a sign of waragi,2024-02-04 18:14:00+00:00,0,1
Isn't that what they call waragi!!!,2024-02-04 18:05:00+00:00,0,0
How can someone be smelling waragi at this time??😩,2024-02-04 07:16:00+00:00,25,8
Nasiiba akapapura ate anywa Waragi Nga ogaseko okukwana abakazi,2024-02-04 17:58:00+00:00,0,0
I saw someone mixing minute maid with waragi🌚🤣,2024-02-04 17:56:00+00:00,1,1
Waragi nebiita😂,2024-02-04 17:56:00+00:00,2,1
Waragi,2024-02-04 16:25:00+00:00,0,0
"We are all born Man United fans, just some people get off track and drinking a lot of waragi😂",2024-02-04 13:35:00+00:00,0,0
Waragi just,2024-02-04 13:06:00+00:00,1,0
Waragi is toxic,2024-02-04 12:15:00+00:00,0,1
Man  Guys got me offside Just from lecturers straight to Waragi with hunger 🤣🤣🤣🤣,2024-02-04 12:09:00+00:00,1,0
Mountain dew with waragi 😂the twins,2024-02-04 11:23:00+00:00,0,0
Ka waragi bro,2024-02-04 11:17:00+00:00,1,1
"I saw one take medicine with waragi , even after I told him not to, he insisted🙌🏾",2024-02-04 10:56:00+00:00,8,3
It depends what type of waragi they took,2024-02-04 10:26:00+00:00,1,1
Simba waragi.  Free antidote,2024-02-04 10:07:00+00:00,1,0
Why are you shilling for her? She’s a migrant herself. She’s part of the problem and you’re a traitor.,2024-02-04 09:36:00+00:00,0,0
Punch 👊 it wix Uganda waragi coconut 🥥 you feel ceramic taste,2024-02-04 09:09:00+00:00,0,0
🤣🤣🤣🤣🤣 laba even we mix water with Waragi yo confused actually relatives,2024-02-04 08:10:00+00:00,7,0
This one is taking Kikomando with Waragi,2024-02-04 07:16:00+00:00,1,0
