Date,Close,text
2024-01-31,110.0,Heritage Foundation Project2025 Will dismantle all unions and make it illegal.  There will no longer be workers protection.  This is all in the #Project2025 manual.  read it  #UAWunionStrong
2024-01-30,104.0,Going to EABL Liqour Shop to buy all the Guinness Smooth they have to make them hit their KPIs
2024-01-30,104.0,EABL snapped back today and ended the day 4% up.   Relief.
2024-01-30,104.0,EABL won't collapse under my watch .
2024-01-30,104.0,Wacha ninunue chrome kadhaa EABL wapate pesa za kuservice loan🥺🥺🥺.
2024-01-30,104.0,Me drinking chrome today supporting EABL
2024-01-30,104.0,90% chance the chrome you buy isn't legit from EABL
2024-01-29,103.5,"EABL CFO on the impact of the requirement to remit excise duty within 24 hours:   ""We've been quite open with the policymakers in saying this is extremely problematic administratively...It's not increasing the amount of collection  so it's a zero-sum game & it needs to stop"""
2024-01-29,103.5,Tries the Tusker Ndimu yesterday and I loved it!  Hi @EABL_PLC 😉
2024-01-29,103.5,"And people will thrive in that. Corruption will be in our DNA. Kwanza vile wanasukuma eabl, illicit zitamaliza watu vibaya Sana. Chrome quarter ikifika 400 this year nobody will buy that crap. End result? Low purchasing power, reduced tax remittances. Nabii economics"
2024-01-26,100.0,EABL's unaudited financials tell the brutal story of the absolutely HOSTILE business environment Kaunda King and His Merry Men have produced after 14 months of seemingly perpetual amateur hour
2024-01-26,100.0,"East African Breweries (EABL), the Kenyan unit of Diageo Plc, has dismissed a media report that its parent company wants to sell the Tusker beer brand as part of broader cuts. Eabl #drinks #EABL #Kenya #beer https://www.esmmagazine.com/drinks/diageos-kenyan-unit-calls-tusker-beer-sale-report-market-speculation-258337"
2024-01-26,100.0,And taxation increase in price of chrome will hurt business more
2024-01-25,118.0,Ya nini? Ya nani? Mbona?  My pride is winning games and beating opponents.  What else would I need?
2024-01-25,118.0,Uko na hasira
2024-01-25,118.0,🤣 🤣 🤣 🤣 Show us the title deed it it's reading Tusker FC.  Bwana watu sio wajinga buanaaaaa.  Very soon @EABL_PLC will build a chang'aa plant there.  They don't care about football
2024-01-24,120.0,So @EABL_PLC through KBL can comment on @tusker_fc issues but it's the PATHETIC #RuarakaFARM that they don't want to talk about?  @tuskerlite @TuskerMaltLager  #FootballKE
2024-01-24,120.0,Kama hamna shamba wacha kuongelea shamba ya wengine
2024-01-24,120.0,Shamba ya Gor unatakia nini
2024-01-24,120.0,Gor wako na shamba?
2024-01-23,117.0,Wapi Tusker fans? Or to EABL it does not matter? What are they even doing in KPL all these years?
2024-01-22,117.0,There is one tournament that was sponsered by EABL  pilsner pool challenge and it was great coz it transversed the entire country.
2024-01-16,120.0,@EABL_PLC
2024-01-16,120.0,Ey! Pole kwa kuugua. Na ua napitia happy EABL kila siku sijawahi one hizi chupa around? Naonanga za tusker na mitungi za keg Tu?!
2024-01-16,120.0,"Lesson; don't try anything new in the market. Stay true to brands that have existed for decades. If you want a drink, chapa Pili, Tusker, White Cup. Ama kama ni mzinga, pertake anything that comes from EABL where quality is assured. Hizi zingine zitakupeleka kwa grave mapema"
2024-01-15,119.5,"Hello. You can visit our office in Ruaraka, EABL behind Garden city mall or if in town visit Urban apparels shop besides Nairobi Sports house. Contact Charles (Ruaraka)  on 0720 245551 and Haron(Nairobi CBD) 0721 419099. Costs 1500"
2024-01-15,119.5,"Ladies and gentlemen, Estadio de Ruaraka, Nairobi, the home of EABL-OWNED TUSKER FC who are 13 times Champions of the Kenya Premier League."
2024-01-12,120.0,Ulizia watu wanafanya eabl na environs pia players wa tusker fc.
2024-01-10,121.0,Unajua sai amafanya EABL. Anaweza tupea a years supply ya balozi na singleton kama yobra. Wewe unapepeta tutablockiwa bana
2024-01-10,121.0,"EABL have done the thing...expect changes to prices of White Cap, Guinness and Tusker Cider"
2024-01-10,121.0,"EABL have done the thing...expect changes to prices of White Cap, Guinness and Tusker Cider"
2024-01-10,121.0,Talk to EABL mchukuwe Tusker FC. Change the name to Tusker Meru FC and have them play at Kinoru Stadium.
2024-01-09,121.0,At 10% v/v it's too strong to rival mainstream brands at EABL with Guinness at 6.5% and others below. Highly unlikely.
2023-12-29,114.0,"like you had anything to do with it. Eabl contracts farmers all over Kenya, they don't need anyone's permission."
2023-12-29,114.0,In 2023:  Safaricom market cap decreased by Kshs. 411 billion  Equity Group plunged by Kshs. 40.95 billion  EABL down by Kshs. 42.3 billion  KCB fell by Kshs. 52.06 billion  Learn which stocks to position in to potentially benefit from a reversal.  Abojani is regulated by ICIFA.
2023-12-29,114.0,It’s a Wrap 💫 this Saturday🔥 with 🙌🏾 @DeejayBonez254 & @AjTheeDj on the decks. Special offers on selected Eabl bottles. Spread the word and come early! ⛱️🏃🏾  #KingstonExperience #Saturday #Hangout #Chillout Mombasa Festive Season Happy Holidays
2023-12-29,114.0,We are cooking amazing offers for you this weekend! It’s A Wrap deals on selected Eabl products. Check flyer for more details and see you around! 😊  #KingstonExperience #SpecialOffer #Deals #Festive #ARSWHU Arsenal Mombasa Westham Happy Holidays
2023-12-29,114.0,"if someone hard short(betting against) safariocom EABL, KCB would have made almost double the initial investment."
2023-12-29,114.0,The crop of one of Makuyu Maragwa farmers who agreed to switch to Sorghum farming.  County and EABL will soon uptake this.
2023-12-29,114.0,BTW: what happened to Hop House 13 @EABL_PLC ?
2023-12-29,114.0,This week we are joined by @antony_owich founder of BND & Manhattan. He takes us through his time as an EABL Ambassador to the genesis of Nairobi's finest bars. We also get to know how lifestyle shifts contributed to his money mindset🍸  This is his story: https://youtu.be/N4FX591E9Q0
2023-12-28,115.0,"Josh White  5,11 Shooting Guard/Point Guard Play EABL/National League  8.9pts 3.6asts 3rbs 26 3P% 60 FT%"
2023-12-28,115.0,Ewan Platford 3.4gpa 6”4 Shooting Guard/Point Guard 6”6 Wingspan Played in the EABL (🇬🇧) NextUpRecruitment Top 40 recruit  10ppg 5.2rpg 2.5apg 2.2spg 35% from 3
2023-12-28,115.0,Wueh EABL chini 😂😂😂😂
2023-12-28,115.0,"Mlipiga ""Alvaro"" vita lakini sisi ni nani, tunaiendea depot. Ifikie @EABL_PLC"
2023-12-28,115.0,"If investing in stocks, sector diversification involves picking a bank [ABSA, NCBA, or Standard Chartered], an industrial [BAT, EABL], agricultural [Kapchorua, Williamson, or Sasini], energy [Kengen, Total], and Telco [Safaricom]. >>"
2023-12-28,115.0,"📽️ TIM OBOH MID-SEASON HIGHLIGHTS 🚨 Check out the best plays so far from 3⃣x EABL player of the week and dominate big man Tim Oboh.  Class 2024 - Recruitment is open, has D1 interest - Looking for an academic college to play at next season. 🎞️🔗https://youtu.be/dv5xBvhat8I?si=gGDkOVvlrJnrM3vS"
2023-12-28,115.0,"just close keroche and eabl , you will see great results"
2023-12-28,115.0,"Basketball England Academy and GB U18 star Tyrese Lacey gives an insight into the US, the UK and life in the EABL 👇  https://ow.ly/u0E950QhiQ8"
2023-12-28,115.0,Kumbe agenda ya Tuktuk twitter nikupata promo na adverts za EABL.
2023-12-28,115.0,EABL on a budget
2023-12-28,115.0,Ewan Platford 6”4 Shooting Guard/Point Guard 6”6 wingspan 3.4gpa Played in the EABL (UK) 10ppg 5.2rpg 2.5apg 2.2spg 0.5bpg 35% from 3 36” vertical
2023-12-27,118.0,"There is this guy on tiktok doing amazing videos with tusker from  @EABL_PLC ,"
2023-12-27,118.0,Ewan Platford 6”4 Shooting Guard/Point Guard 6”6 wingspan 3.4 gpa  Played in the EABL (UK) 10ppg 5.2rpg 2.5apg 2.2stl 35% from 3
2023-12-27,118.0,Waragi ya eabl
2023-12-27,118.0,Mimi siwes piga tei haijatoka eabl
2023-12-27,118.0,"There is this guy on tiktok doing amazing videos with tusker from  @EABL_PLC ,"
2023-12-27,118.0,Ewan Platford 6”4 Shooting Guard/Point Guard 6”6 Wingspan 3.4gpa 4 years eligibility  Played in the EABL(UK) 10ppg 5rpg 2.5apg 35% from 3
2023-12-27,118.0,Mzee eabl won't close shop any time soon. Not when they are making slightly over 20 billion in pure profits after taxes and dividends etc 😂😂walevi ni tens of millions.
2023-12-27,118.0,37/50 EABL gained 2.7%w/w to KES 114.00 in part attributable to its 5.6% gain on Friday breaking a seven-day bear run that saw the counter print an all-time low of KES 108.00. BOC was a surprise top mover on a USD 258.1K turnover print. https://sokodirectory.com/2023/12/markets-warmed-up-to-christmas-edging-upward-by-56-1/
2023-12-27,118.0,"A buy recommendation for EABL this midweek on the @dsetanzania having had the last price trade of TZS 1 860 with the then change of 4.49% ,won't do you bad for today's trading session at the Bourse |"
2023-12-22,114.0,Here Are Your #EABL Mid-Season Top 20 Scoring Leaders @academybballeng.  Who’s Impressed You‼️   #britishbasketball #EABL
2023-12-22,114.0,"Condescending! EABL and the likes should sue, lol. Kila mtu atupe focus kwake. Imagine kuambiwa vile utafanya na pesa zako kidogo na mtu hata hakujui. Fagia kwako!"
2023-12-22,114.0,Maneno ya pombe wachia EABL wewe shughulika na injili/kanisa
2023-12-22,114.0,How will EABL and others pay taxes and pay salaries ? 🤔
2023-12-22,114.0,We must keep eabl in business.  Your office is funded with beer taxes.
2023-12-22,114.0,Go tell EABL that sweet gospel
2023-12-22,114.0,Funga EABL et al basi....
2023-12-22,114.0,Huko ni wapi inauzwa 720? Juu hata EABL hatuuziwi hivyo
2023-12-22,114.0,Some suggestions are just weird. EABL is not a cathedral!
2023-12-22,114.0,Great to see another of our alumni performing in EABL. Keep going George. 💪👏 ♥️🌩️🏀
2023-12-20,108.5,EABL wafunge tu Tusker FC at this rate.   @tusker_fc 👎
2023-12-18,109.5,"Tusker is an EABL product. EABL is Kenyan-based but not Kenyan-owned and was started while we were a colony. The biggest shareholder, Diageo is a British company.   OP's point still stands."
2023-12-14,111.5,CHROME @EABL_PLC turn over ya fakes ni mingi sana ajab imetutengezea stomach problems mob sana na hakuna venye wanatry juapproach ao wapishi fake wawashtaki🤦🏽‍♂️
2023-12-08,111.0,😂😂I will approach EABL watupee ya Chrome
2023-12-08,111.0,@TuskerLager @tuskermaltug @TuskerMaltLager @EABL_PLC #kenya #tanzania #uganda #sundan #Rwanda #Ethiopia is true ama ni story za Jaba 😂😂😂
