text,date,No_of_likes,No_of_tweets
Tusker Project Fame 6 Opening Gala Set for Sunday bit.ly/1aAHZMb #TV,2013-12-30 23:28:00+00:00,0,0
HIZI NDIYO NYIMBO ALIZOZICHACHGUA HISIA MWAKILISHI WA TUSKER PROJECT FAME KUTOKA BONGO KWENYE JUZI JANA NA LEO... fb.me/1LEnJISKf,2013-12-30 08:06:00+00:00,0,0
Why Tusker Project Fame Badly Needs Surgery Music News: HiPipo.com: hipipo.com/music/news/2290/W… #hipipo via @hipipo,2013-12-29 21:43:00+00:00,0,0
"#Rwanda Alpha thrills children on Christmas   Afro beat singer and Tusker Project Fame double winner, Alpha... fb.me/6lMmPMjWF",2013-12-29 10:33:00+00:00,0,0
Hisia from Tusker Project Fame is in da Building.....#FnL,2013-12-27 20:42:00+00:00,0,0
Via newsUganda.ug: Burundi's Hope Irakoze Wins #TuskerProjectFame 6 #Uganda bit.ly/1btH1Ag,2013-12-27 17:58:00+00:00,0,0
Burundi's Hope Irakoze Wins #TuskerProjectFame 6 #Uganda bit.ly/1btH1Ag,2013-12-27 17:58:00+00:00,0,0
Best tv shows this year  1.tusker project fame 6 2.xpozed by Mc Katskats 3.tuwaye by walusimbi 4.afmag 5.txp,2013-12-26 15:31:00+00:00,0,0
Burundi's Irakoze Hope Wins Tusker Project Fame 6 bit.ly/1f6tAKs #Celebrities #TV,2013-12-26 13:08:00+00:00,0,0
"In case you missed out on John Kago's Interview with Tusker Project Fame 6 - 1st Runners up AMOS AND JOSH, TUNE IN... fb.me/RKavGWI4",2013-12-26 06:38:00+00:00,0,0
TUSKER PROJECT FAME 6 ENDS afropopstar.com/?p=185,2013-12-25 16:23:00+00:00,0,0
"MASTAA WA KENYA WAAMUA KUCHEZA MOVIE YA NGONO!!! JUDGE WA TUSKER PROJECT FAME YUMO NAE, SOMA NA TAZAMA PICHA ZA... fb.me/6Cbv7wxeI",2013-12-25 10:21:00+00:00,0,0
#Rwanda Patrick Nyamitali: Tusker Project Fame taught me a lot   Patrick Nyamitali has opened up for the first... fb.me/2BX4Aws1z,2013-12-24 15:15:00+00:00,0,0
Tusker Project Fame 6 Opening Gala Set for Sunday bit.ly/1aAHZMb #TV,2013-12-23 14:25:00+00:00,0,0
Hope Tusker Project Fame Season 7 Winner @hipipo shar.es/OOqEm via @sharethis,2013-12-23 09:20:00+00:00,1,0
Hope Tusker Project Fame Season 7 Winner | HiPipo.com 5Star: hipipo.com/5star/specials/tu… #HiPipoMusicAwards via @hipipo,2013-12-23 09:20:00+00:00,1,0
Victor Wins Tusker Project Fame Season 7 | HiPipo.com 5Star: hipipo.com/5star/photos/2013… #HiPipoMusicAwards via @hipipo,2013-12-23 08:28:00+00:00,1,0
Team Kenya @ tusker project fame lnkd.in/bGMeEFn,2013-12-23 05:57:00+00:00,0,0
This #talentxp thing actually had some gd stuff...way better than #tuskerprojectfame !,2013-12-22 20:23:00+00:00,0,0
@hirolla1 @ntvuganda why didnt this people go to tusker project fame.,2013-12-22 19:44:00+00:00,0,1
Tusker Project Fame 6 Boasts New Hosts and a Couple of Changes bit.ly/18BDT3J #TV,2013-12-22 18:04:00+00:00,0,0
NAIROBI WOMEN ate all the money I won from Tusker project Fame. DAVIS is totally BROKE..  blames it on Nairobi LADIES.,2013-12-22 07:35:00+00:00,0,0
NAIROBI WOMEN ate all the money I won from Tusker project Fame ……. DAVIS is totally BROKE..... fb.me/6rLlofKd8,2013-12-21 23:00:00+00:00,0,0
