DIVIDENDS,Announced,Book Closure,Payment,Amount
Interim Dividend,1/26/2024,2/16/2024,4/26/2024,KES 1.00
Final Dividend,7/28/2023,9/15/2023,10/27/2023,KES 1.75
Final Dividend,7/28/2023,9/14/2023,10/27/2023,KES 1.75
Interim Dividend,1/27/2023,2/16/2023,4/28/2023,KES 3.75
Final Dividend,7/28/2022,9/15/2022,10/30/2022,KES 7.25
Interim Dividend,1/28/2022,2/28/2022,4/27/2022,KES 3.75
Interim Dividend,1/31/2020,2/28/2020,4/17/2020,KES 3.00
Final Dividend,7/26/2019,9/25/2019,10/11/2019,KES 6.00
Interim Dividend,1/25/2019,2/22/2019,4/11/2019,KES 2.50
Final Dividend,7/27/2018,8/24/2018,10/30/2018,KES 5.50
Interim Dividend,1/26/2018,3/30/2018,4/20/2018,KES 2.00
Final Dividend,7/28/2017,8/25/2017,10/31/2017,KES 5.50
Interim Dividend,1/27/2017,3/31/2017,4/21/2017,KES 2.00
Final Dividend,7/29/2016,8/31/2016,11/30/2016,KES 5.50
Special Dividend,4/28/2016,5/27/2016,6/23/2016,KES 4.50
Interim Dividend,1/28/2016,3/31/2016,4/29/2016,KES 2.00
Final Dividend,7/31/2015,8/31/2015,12/7/2015,KES 6.00
Interim Dividend,2/13/2015,3/16/2015,4/14/2015,KES 1.50
Final Dividend,8/8/2014,9/8/2014,1/20/2015,KES 4.00
Interim Dividend,2/14/2014,3/14/2014,4/11/2014,KES 1.50
Final Dividend,8/23/2013,9/30/2013,11/1/2013,KES 4.00
Interim Dividend,2/15/2013,3/19/2013,4/11/2013,KES 1.50
Final Dividend,8/24/2012,9/21/2012,10/26/2012,KES 6.25
Interim Dividend,2/17/2012,3/19/2012,4/13/2012,KES 2.50
Final Dividend,8/26/2011,9/30/2011,11/11/2011,KES 6.25
Interim Dividend,2/18/2011,3/22/2011,4/15/2011,KES 2.50
Final Dividend,8/27/2010,9/29/2010,10/26/2010,KES 6.25
Interim Dividend,2/17/2010,3/18/2010,4/15/2010,KES 2.50
Final Dividend,8/27/2009,9/29/2009,10/26/2009,KES 5.55
Interim Dividend,2/20/2009,3/16/2009,4/15/2009,KES 2.50
Final Dividend,8/29/2008,10/9/2008,11/3/2008,KES 5.65
Interim Dividend,2/29/2008,3/28/2008,4/14/2008,KES 2.40
Final Dividend,8/31/2007,10/12/2007,11/5/2007,KES 5.55
Interim Dividend,2/23/2007,3/28/2007,4/12/2007,KES 2.15
Final Dividend,8/25/2006,10/13/2006,11/3/2006,KES 4.15
Interim Dividend,2/2/2006,2/27/2006,3/15/2006,KES 1.75
