Unnamed: 0,Date,Open,High,Low,Close,Average,Volume,Month,Year,Day,Annual Average Inflation,12-Month Inflation,Mean,Amount,Dividends per share,Earnings Per Share,Unemployment,Interest rates,text,No_of_likes,No_of_tweets
0,2024-01-31,104.0,111.0,104.0,110.0,106.0,42000,1,2024,31,,6.9,161.0,1.0,,,3.7,12.5,Heritage Foundation Project2025 Will dismantle all unions and make it illegal.  There will no longer be workers protection.  This is all in the #Project2025 manual.  read it  #UAWunionStrong,25.0,5.0
1,2024-01-30,105.0,105.0,101.0,104.0,104.0,15600,1,2024,30,,6.9,161.0,1.0,,,3.7,12.5,Going to EABL Liqour Shop to buy all the Guinness Smooth they have to make them hit their KPIs,4.0,0.0
1,2024-01-30,105.0,105.0,101.0,104.0,104.0,15600,1,2024,30,,6.9,161.0,1.0,,,3.7,12.5,EABL snapped back today and ended the day 4% up.   Relief.,17.0,0.0
1,2024-01-30,105.0,105.0,101.0,104.0,104.0,15600,1,2024,30,,6.9,161.0,1.0,,,3.7,12.5,EABL won't collapse under my watch .,1995.0,13.0
1,2024-01-30,105.0,105.0,101.0,104.0,104.0,15600,1,2024,30,,6.9,161.0,1.0,,,3.7,12.5,Wacha ninunue chrome kadhaa EABL wapate pesa za kuservice loan🥺🥺🥺.,27.0,3.0
1,2024-01-30,105.0,105.0,101.0,104.0,104.0,15600,1,2024,30,,6.9,161.0,1.0,,,3.7,12.5,Me drinking chrome today supporting EABL,1.0,0.0
1,2024-01-30,105.0,105.0,101.0,104.0,104.0,15600,1,2024,30,,6.9,161.0,1.0,,,3.7,12.5,90% chance the chrome you buy isn't legit from EABL,1.0,0.0
2,2024-01-29,105.0,105.0,99.0,103.5,100.0,596100,1,2024,29,,6.9,162.0,1.0,,,3.7,12.5,"EABL CFO on the impact of the requirement to remit excise duty within 24 hours:   ""We've been quite open with the policymakers in saying this is extremely problematic administratively...It's not increasing the amount of collection  so it's a zero-sum game & it needs to stop""",144.0,6.0
2,2024-01-29,105.0,105.0,99.0,103.5,100.0,596100,1,2024,29,,6.9,162.0,1.0,,,3.7,12.5,Tries the Tusker Ndimu yesterday and I loved it!  Hi @EABL_PLC 😉,20.0,7.0
2,2024-01-29,105.0,105.0,99.0,103.5,100.0,596100,1,2024,29,,6.9,162.0,1.0,,,3.7,12.5,"And people will thrive in that. Corruption will be in our DNA. Kwanza vile wanasukuma eabl, illicit zitamaliza watu vibaya Sana. Chrome quarter ikifika 400 this year nobody will buy that crap. End result? Low purchasing power, reduced tax remittances. Nabii economics",0.0,1.0
3,2024-01-26,116.25,116.25,100.0,100.0,104.5,60500,1,2024,26,,6.9,162.0,1.0,,,3.7,12.5,EABL's unaudited financials tell the brutal story of the absolutely HOSTILE business environment Kaunda King and His Merry Men have produced after 14 months of seemingly perpetual amateur hour,52.0,4.0
3,2024-01-26,116.25,116.25,100.0,100.0,104.5,60500,1,2024,26,,6.9,162.0,1.0,,,3.7,12.5,"East African Breweries (EABL), the Kenyan unit of Diageo Plc, has dismissed a media report that its parent company wants to sell the Tusker beer brand as part of broader cuts. Eabl #drinks #EABL #Kenya #beer https://www.esmmagazine.com/drinks/diageos-kenyan-unit-calls-tusker-beer-sale-report-market-speculation-258337",1.0,0.0
3,2024-01-26,116.25,116.25,100.0,100.0,104.5,60500,1,2024,26,,6.9,162.0,1.0,,,3.7,12.5,And taxation increase in price of chrome will hurt business more,0.0,0.0
4,2024-01-25,119.75,120.0,118.0,118.0,118.25,5700,1,2024,25,,6.9,163.0,1.75,,,3.7,12.5,Ya nini? Ya nani? Mbona?  My pride is winning games and beating opponents.  What else would I need?,0.0,0.0
4,2024-01-25,119.75,120.0,118.0,118.0,118.25,5700,1,2024,25,,6.9,163.0,1.75,,,3.7,12.5,Uko na hasira,0.0,1.0
4,2024-01-25,119.75,120.0,118.0,118.0,118.25,5700,1,2024,25,,6.9,163.0,1.75,,,3.7,12.5,🤣 🤣 🤣 🤣 Show us the title deed it it's reading Tusker FC.  Bwana watu sio wajinga buanaaaaa.  Very soon @EABL_PLC will build a chang'aa plant there.  They don't care about football,0.0,1.0
5,2024-01-24,115.0,120.0,115.0,120.0,116.5,9700,1,2024,24,,6.9,162.75,1.75,,,3.7,12.5,So @EABL_PLC through KBL can comment on @tusker_fc issues but it's the PATHETIC #RuarakaFARM that they don't want to talk about?  @tuskerlite @TuskerMaltLager  #FootballKE,11.0,1.0
5,2024-01-24,115.0,120.0,115.0,120.0,116.5,9700,1,2024,24,,6.9,162.75,1.75,,,3.7,12.5,Kama hamna shamba wacha kuongelea shamba ya wengine,0.0,1.0
