text,date,No_of_likes,No_of_tweets
We shall resort to taking Konyagi from TBL and serengeti breweries.,2024-01-29 16:32:00+00:00,0,0
"Uganda currency strength vs KES a big part of that I guess. Tz performance weak. Tells me either mkt in general there is weak, or TBL has been doing better at the expense of EABL's Serengeti Breweries.",2024-01-26 07:39:00+00:00,0,1
It's a promotion by EABL. They always do Tusker Oktobafest in Kenya but this time they have in each of the countries and have named it by their local beer in each country. In UG it's Bell Oktobafest while in TZ it's Serengeti Oktobafest,2023-10-18 16:52:00+00:00,5,1
Why is it you have tuskers n Pilsner sold in Uganda n tanzania yet you don’t allow Serengeti n bell to be sold in kenya.. what kind of EABL is that,2023-07-29 06:10:00+00:00,0,0
EABL picks Serengeti Breweries Boss Martin Ocitti to head Kenya Breweries | Food Business Africa Magazine - https://nairobitimes.co.ke/2023/01/29/eabl-picks-serengeti-breweries-boss-martin-ocitti-to-head-kenya-breweries-food-business-africa-magazine/,2023-01-29 09:07:00+00:00,0,0
"The polycarp igathe of brewery top cream management.......man's hasn't been jobless for over 20yrs always in management all over East Africa from EABL Kenya🇰🇪,Serengeti 🇹🇿, Uganda 🇺🇬 Breweries and now back and KBL Kenya 🇰🇪",2023-01-28 16:35:00+00:00,4,0
"After overseeing unprecedented growth, investment and launch of innovations at Serengeti Breweries since 2019, @Markocitti  has been appointed the Managing Director of @KenyaBreweries, @EABL_PLC's largest subsidiary.  Congratulations @Markocitti https://www.ceo.co.ug/eabl-taps-mark-ocitti-ongom-to-head-kenya-breweries-limited-as-managing-director/",2023-01-28 08:08:00+00:00,15,0
"After overseeing unprecedented growth, investment and launch of innovations at Serengeti Breweries since 2019, @Markocitti  has been appointed the Managing Director of @KenyaBreweries, @EABL_PLC's largest subsidiary.   Well deserved @Markocitti https://www.ceo.co.ug/eabl-taps-mark-ocitti-ongom-to-head-kenya-breweries-limited-as-managing-director/",2023-01-28 08:07:00+00:00,1,0
So that good. Watu wamepunguza pombe..... Ama u need more drunkards..???,2023-01-27 09:23:00+00:00,1,0
"I don't expect you guys to announce loses,koz as far as I know, for the last half year,we have been drinking  your products",2023-01-27 05:58:00+00:00,1,0
"#BIASHARA KAMPUNI ya Bia ya Serengeti Breweries (SBL) imezidua ripoti yake ya shughuli endelevu chini ya kampuni tanzu ya East Africa Breweries Limited (EABL) inayoonyesha mafanikio mengi katika nyanja ya mazingira, jamii na utawala./https://bit.ly/3YBHZKM",2022-12-19 10:47:00+00:00,4,0
EABL upped its stake in Serengeti in 2021 (subsidiary loan conversion to equity stake). Diageo now upping its stake in EABL. Reassuring signals to the market in an operating environment grappling with regulatory overreach through excise,2022-10-14 06:21:00+00:00,68,3
Very well deserved 🎉 congratulations to Alfred,2022-10-12 15:41:00+00:00,0,0
#congratulations to Alfred Balikagira who starts a new role as Operations Director at Serengeti Breweries Limited effective 01 November 2022 @UgandaBreweries @EABL_PLC @Diageo_News https://www.ceo.co.ug/serengeti-breweries-taps-ubls-alfred-balikagira-as-its-operations-director/,2022-10-10 11:07:00+00:00,1,0
Masaa n ya jioni #BeiYaJioni  Tupo hapa Serengeti Garden @NaziziHirji @MuzikalSheriff @EABL_PLC #DrinkBetterNotMore,2022-09-10 16:53:00+00:00,27,9
Tumefika Serengeti Cool Breeze  @NaziziHirji @MuzikalSheriff #BeiYaJioni @EABL_PLC #DrinkBetterNotMore,2022-09-10 16:00:00+00:00,14,0
"Wadau...Leo tupatane Eastern By-Pass, tutakua 1. Exit 11  2. Chilluz Garden 3. Serengeti Garden 4. Serengeti Cool Breeze @NaziziHirji alongside @MuzikalSheriff watakua in a da area! Usiwachwe nyuma. @EABL_PLC #BeiYaJioni #DrinkBetterNotMore",2022-09-10 07:42:00+00:00,9,1
