text,date,No_of_likes,No_of_tweets
"East African Breweries (EABL), the Kenyan unit of Diageo Plc, has dismissed a media report that its parent company wants to sell the Tusker beer brand as part of broader cuts. Eabl #drinks #EABL #Kenya #beer https://www.esmmagazine.com/drinks/diageos-kenyan-unit-calls-tusker-beer-sale-report-market-speculation-258337",2024-01-26 14:04:00+00:00,1,0
Fans na Futaa ndio hao wamekaa Juu ya container they can't even order one beer and cheers when a goal is  scored because EABL is in a Toxic relationship with Tusker Fc  #FootballKE,2024-01-06 17:47:00+00:00,40,2
"You’re right on 7. There’s a funky taste with most hard liquors. It’s the reason I’ve stuck to EABL beers & even those, after Diageo bought a stake, it hasn’t been the same.  Tusker ya ‘96 when I first tried, isn’t the same as now.",2024-01-01 16:18:00+00:00,2,1
I feel like with Tusker Ndimu Eabl now have a legit competitor for Kenya Original beers,2023-12-30 19:03:00+00:00,1,0
"EABL's Director for Corporate Relations, Eric Kiniti, wards off as ""market speculation"" claims that the brewer's majority shareholder, Diageo, is looking to exit a part of its beer portfolio, Tusker included.  EABL's beer portfolio has been on a strong post-COVID19 rebound with sales up 12.0% in FY2021, 17.0% in FY2022. FY2023 numbers posted a 2.0% contraction, largely on hits from aggressive excise tax.  When I sat down with EABL CFO, Risper Genga Ohaga, on FY2022 numbers, she indicated beer was benefiting from the on-trade business resumption following lifting of COVID19 restrictions",2023-12-07 11:31:00+00:00,67,4
9. Axios reporting that Diageo might be looking to divest the rest of its beer portfolio apart from its flagship brand Guinness.  —Among the beer brands the company could sell is EABL's Tusker. —Diageo increased its stake in EABL from 50% to 65% of EABL earlier this year.,2023-12-07 04:00:00+00:00,3,2
Axios reporting that Diageo might be looking to divest the rest of its beer portfolio apart from its flagship brand Guinness.  —Among the beer brands the company could sell is EABL's Tusker. —Diageo increased its stake in EABL from 50% to 65% of EABL earlier this year.,2023-12-06 10:21:00+00:00,59,3
Btw mtafte pesa watu wangu. Dark si Guinness na clear si Tusker! Enjoy premium beer! Alafu @EABL_PLC mfanye mambo pia nyinyi 😂,2023-11-25 19:40:00+00:00,0,0
"Now Beertopia is where you got to walk into a tent set up as a beer tasting house showcasing Eabl's iconic fresh beers from Tusker Lager, stout, Rockshore. They even had seating spaces and outside, a cute set up making shandies. (Beer cocktails).",2023-10-29 13:01:00+00:00,31,1
It's a promotion by EABL. They always do Tusker Oktobafest in Kenya but this time they have in each of the countries and have named it by their local beer in each country. In UG it's Bell Oktobafest while in TZ it's Serengeti Oktobafest,2023-10-18 16:52:00+00:00,5,1
Is the bulk of EABL’s business <5% ABV Tusker/Guinness - Beer or >30% ABV Johnnie Walker/Tanqueray - Spirits?   The illegal producers must love irrational tax policies……..🙈.,2023-09-17 06:37:00+00:00,0,1
"[BUSINESS] EABL full-year profit drops by Sh3b as struggling Kenyans drink less: EABL, known for its flagship Tusker beer, saw its net earnings decline 20.8 per cent to Sh12.3 billion in the full-year period to .. https://www.standardmedia.co.ke/business/article/2001478202/eabl-full-year-profit-drops-by-sh3b-as-struggling-kenyans-drink-less",2023-07-28 12:46:00+00:00,1,0
FT Gor 3-0 Tusker Beer tatu please any EABL brand please #footballKE.,2023-07-24 10:07:00+00:00,0,1
EABL Kisumu and Tusker - biomass power from burning organic waste that would otherwise be taken to landfills. The beer manufacturer is expected to use the waste of its production processes to fuel the facilities plants. https://www.businessdailyafrica.com/bd/corporate/companies/eabl-s-kisumu-and-nairobi-biomass-plants-almost-ready-3911644,2023-06-29 15:37:00+00:00,0,0
They are even faking EABL beers? Ukikunywa Tusker Mwea shauri yako.  The can is safer than hii ya chupa.,2023-05-28 09:50:00+00:00,14,7
Kuna base flani mi huenda hapo nje ya gate at half time nikiendea beer zangu🤣,2023-05-08 12:16:00+00:00,0,1
"Problem with u is you're fighting even legit eabl beers like ..tusker, pilsner,etc.",2023-05-04 19:17:00+00:00,0,0
Somebody get Diageo on the phone! We need to talk. This year we won't let your eabl guys do Oktobafest in peace... our plan was to have ALL BEERS not just TUSKER. @osoroKE @AllanNyash @NonieMG @Honeyfarsafi @WaruiJohn2 @Kimuzi_,2023-04-19 00:34:00+00:00,1,3
